epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc,optimizer,elapsed_seconds
1,1.7827732735315958,42.06,1.4186966873168945,64.3,15.83,Unknown,1
2,1.2439036575317384,72.85333333333334,1.0374310470581054,83.8,19.86,Unknown,2
3,0.9880485908826192,84.94,0.94331392288208,87.32,20.36,Unknown,3
4,0.9012542175928752,88.68666666666667,0.8476796233177185,91.18,22.55,Unknown,4
5,0.8514145083109538,90.71333333333334,0.8282376104354858,91.3,25.32,Unknown,5
6,0.8277623563130697,91.615,0.8004493131637573,92.64,27.81,Unknown,6
7,0.8143677865346273,92.08666666666667,0.7899999064445495,93.02,31.22,Unknown,7
8,0.8013388399759929,92.54666666666668,0.785092229270935,93.19,33.69,Unknown,8
9,0.7938207511901856,92.79666666666668,0.7822093955993652,93.3,35.18,Unknown,9
10,0.792040343983968,92.805,0.7802426750183106,93.41,36.21,Unknown,10
