iteration,loss
0,2.0385013087229296
1,1.7812276536768132
2,1.653637065806172
3,1.5586842461065813
4,1.4805546287785878
5,1.4092373644763774
6,1.3461953381245786
7,1.2914257896217434
8,1.2401686412366957
9,1.1957756050608377
10,1.15374417738481
11,1.1100200272419236
12,1.0715389868075198
13,1.040307548574426
14,1.005340951071544
15,0.9777492369440468
16,0.9508932293816046
17,0.9247775954956358
18,0.9011088277805936
19,0.8790283673866228
20,0.858331905847246
21,0.8382790488275614
22,0.8176094330847263
23,0.8004668161950328
24,0.7789769782261415
25,0.7643210417167707
26,0.7448026463389397
27,0.7294570569964972
28,0.7164133793928407
29,0.7015505666759881
30,0.6884547692130912
31,0.6723413443700834
32,0.65739521113309
33,0.6456735435534607
34,0.6272264459932392
35,0.6123182448473844
36,0.60289773395793
37,0.5914588240398602
38,0.5807564085857435
39,0.5706687440926378
40,0.5612348990345543
41,0.5462844168598001
42,0.5402606217698618
43,0.530884671617638
44,0.5251493809575384
45,0.516096724874594
46,0.504398096522147
47,0.4975396763872016
48,0.4905794532122937
49,0.481295426630161
