optimizer,empirical_rate,theoretical_rate,optimality_gap,optimality_gap_pct,convergence_regime,pl_constant,fit_r_squared,mean_relative_error,median_relative_error,max_relative_error,final_loss,theoretical_final,experiment,dataset,n_iterations,initial_loss,loss_reduction,stability_ok,max_stable_lr,lipschitz_L,problem_type
AdaBound,0.3601805204972672,0.999692034984822,0.0,0.0,linear (PL),6.477120544299072e-05,0.2323555949524459,0.8127172819632237,0.8742720180456247,0.9455604617364716,0.0194619124163807,0.3574959143982157,mnist,MNIST,50,0.3629323828135621,0.3434704703971814,True,9.509318626131211,0.2103200112050176,non_convex
Adam,0.1690018596558779,0.9990184799205308,0.0,0.0,linear (PL),0.0002970927071336,-0.2965141703858966,0.7647278986927839,0.8115855812628247,0.93510539467247,0.0161454703161088,0.2487952631521743,mnist,MNIST,21,0.253729912236121,0.2375844419200122,True,6.607500324992286,0.3026863263911129,non_convex
AMSGrad,0.0989960929076538,0.9999668197888786,0.0,0.0,linear (PL),7.860017941807056e-06,0.9250549592116556,0.9316233321480264,0.996623965242302,0.9982868769027452,0.0004268892583745,0.249187789766686,mnist,MNIST,33,0.2494525139824756,0.249025624724101,True,8.442782539949983,0.2368887260256082,non_convex
LAMB,0.4053471308258672,0.999511036730983,0.0,0.0,linear (PL),0.0002018621730878,-3.884735742775761,0.8027281525228493,0.8388986726310169,0.8889215742574483,0.1428476325261273,0.6014580926647498,mnist,MNIST,43,0.6139406985581204,0.4710930660319931,True,4.844525960831529,0.4128370899795351,non_convex
SGD,0.3209993457292397,0.9996270599552928,0.0,0.0,linear (PL),0.0001405288904463,0.6518375442869253,0.8510018443966981,0.9167999448368788,0.9548350892144678,0.0199862281875729,0.4425167222838548,mnist,MNIST,37,0.4484990664285506,0.4285128382409777,True,5.307663691397954,0.3768136257844234,non_convex
SGD_Momentum,0.2032226367082453,0.999518185674878,0.0,0.0,linear (PL),0.0001952170940282,0.8749425576598118,0.8678222388783305,0.9422040525774243,0.97937967228299,0.0071677667931852,0.3476068367822493,mnist,MNIST,28,0.3521594948960707,0.3449917281028855,True,4.936189912263631,0.4051707968186425,non_convex
AdaBound,3.590288434837975,0.9993559357415306,0.0,0.0,linear (PL),0.0005682162806517,-2.819905717686063,0.560979027442458,0.6154412543096618,0.7563249183957348,0.481295426630161,1.9751524182822684,cifar10,CIFAR10,50,2.0385013087229296,1.5572058820927686,True,2.2669686892132552,0.8822353875095179,non_convex
Adam,1.9811317723876432,0.999645210781473,0.0,0.0,linear (PL),0.0006844370099717,0.5046790151260955,0.7893099396037713,0.8623260871714246,0.9290505824805744,0.1327243622561747,1.8706899505234171,cifar10,CIFAR10,39,1.89608588882468,1.7633615265685054,True,1.0367330034993074,1.929137003692712,non_convex
LAMB,2.917387034016825,0.9993865202224134,0.0,0.0,linear (PL),0.0005532754401972,-1.9160560506016155,0.6257999975406182,0.6822323516171118,0.8134002490416836,0.3376030837270347,1.8092365186692567,cifar10,CIFAR10,50,1.8644659851085057,1.526862901381471,True,2.21762880842104,0.901864185929298,non_convex
SGD_Momentum,2.086005866287543,0.9996074285679836,0.0,0.0,linear (PL),0.0005136645726834,0.4997231374589038,0.8056816377210392,0.8782150105678602,0.9617259413294368,0.0676616787360134,1.760954517701235,cifar10,CIFAR10,50,1.7951629155061462,1.7275012367701328,True,1.5285127801032836,1.3084614182060403,non_convex
