optimizer,seed,final_loss,final_grad_norm,final_x,final_y,iterations,converged,error
SGD,42,2.8130922317504883,1.993788242340088,-0.674126386642456,0.46245697140693665,1000,False,
SGD_Momentum,42,9.842921144809225e-07,0.0008925265865400434,0.9990172386169434,0.9980316162109375,800,True,
Adam,42,9.837701782089425e-07,0.0009911470115184784,0.9990285038948059,0.9980550408363342,548,True,
Adam_NoBeta2,42,9.837701782089425e-07,0.0009911470115184784,0.9990285038948059,0.9980550408363342,548,True,
SAM_SGD,42,3.309300422668457,9.999999046325684,-0.8133364319801331,0.6516205072402954,1000,False,
SGD,123,2.8130922317504883,1.993788242340088,-0.674126386642456,0.46245697140693665,1000,False,
SGD_Momentum,123,9.842921144809225e-07,0.0008925265865400434,0.9990172386169434,0.9980316162109375,800,True,
Adam,123,9.837701782089425e-07,0.0009911470115184784,0.9990285038948059,0.9980550408363342,548,True,
Adam_NoBeta2,123,9.837701782089425e-07,0.0009911470115184784,0.9990285038948059,0.9980550408363342,548,True,
SAM_SGD,123,3.309300422668457,9.999999046325684,-0.8133364319801331,0.6516205072402954,1000,False,
SGD,456,2.8130922317504883,1.993788242340088,-0.674126386642456,0.46245697140693665,1000,False,
SGD_Momentum,456,9.842921144809225e-07,0.0008925265865400434,0.9990172386169434,0.9980316162109375,800,True,
Adam,456,9.837701782089425e-07,0.0009911470115184784,0.9990285038948059,0.9980550408363342,548,True,
Adam_NoBeta2,456,9.837701782089425e-07,0.0009911470115184784,0.9990285038948059,0.9980550408363342,548,True,
SAM_SGD,456,3.309300422668457,9.999999046325684,-0.8133364319801331,0.6516205072402954,1000,False,
SGD,789,2.8130922317504883,1.993788242340088,-0.674126386642456,0.46245697140693665,1000,False,
SGD_Momentum,789,9.842921144809225e-07,0.0008925265865400434,0.9990172386169434,0.9980316162109375,800,True,
Adam,789,9.837701782089425e-07,0.0009911470115184784,0.9990285038948059,0.9980550408363342,548,True,
Adam_NoBeta2,789,9.837701782089425e-07,0.0009911470115184784,0.9990285038948059,0.9980550408363342,548,True,
SAM_SGD,789,3.309300422668457,9.999999046325684,-0.8133364319801331,0.6516205072402954,1000,False,
SGD,1011,2.8130922317504883,1.993788242340088,-0.674126386642456,0.46245697140693665,1000,False,
SGD_Momentum,1011,9.842921144809225e-07,0.0008925265865400434,0.9990172386169434,0.9980316162109375,800,True,
Adam,1011,9.837701782089425e-07,0.0009911470115184784,0.9990285038948059,0.9980550408363342,548,True,
Adam_NoBeta2,1011,9.837701782089425e-07,0.0009911470115184784,0.9990285038948059,0.9980550408363342,548,True,
SAM_SGD,1011,3.309300422668457,9.999999046325684,-0.8133364319801331,0.6516205072402954,1000,False,
SGD,1213,2.8130922317504883,1.993788242340088,-0.674126386642456,0.46245697140693665,1000,False,
SGD_Momentum,1213,9.842921144809225e-07,0.0008925265865400434,0.9990172386169434,0.9980316162109375,800,True,
Adam,1213,9.837701782089425e-07,0.0009911470115184784,0.9990285038948059,0.9980550408363342,548,True,
Adam_NoBeta2,1213,9.837701782089425e-07,0.0009911470115184784,0.9990285038948059,0.9980550408363342,548,True,
SAM_SGD,1213,3.309300422668457,9.999999046325684,-0.8133364319801331,0.6516205072402954,1000,False,
SGD,1415,2.8130922317504883,1.993788242340088,-0.674126386642456,0.46245697140693665,1000,False,
SGD_Momentum,1415,9.842921144809225e-07,0.0008925265865400434,0.9990172386169434,0.9980316162109375,800,True,
Adam,1415,9.837701782089425e-07,0.0009911470115184784,0.9990285038948059,0.9980550408363342,548,True,
Adam_NoBeta2,1415,9.837701782089425e-07,0.0009911470115184784,0.9990285038948059,0.9980550408363342,548,True,
SAM_SGD,1415,3.309300422668457,9.999999046325684,-0.8133364319801331,0.6516205072402954,1000,False,
SGD,1617,2.8130922317504883,1.993788242340088,-0.674126386642456,0.46245697140693665,1000,False,
SGD_Momentum,1617,9.842921144809225e-07,0.0008925265865400434,0.9990172386169434,0.9980316162109375,800,True,
Adam,1617,9.837701782089425e-07,0.0009911470115184784,0.9990285038948059,0.9980550408363342,548,True,
Adam_NoBeta2,1617,9.837701782089425e-07,0.0009911470115184784,0.9990285038948059,0.9980550408363342,548,True,
SAM_SGD,1617,3.309300422668457,9.999999046325684,-0.8133364319801331,0.6516205072402954,1000,False,
SGD,1819,2.8130922317504883,1.993788242340088,-0.674126386642456,0.46245697140693665,1000,False,
SGD_Momentum,1819,9.842921144809225e-07,0.0008925265865400434,0.9990172386169434,0.9980316162109375,800,True,
Adam,1819,9.837701782089425e-07,0.0009911470115184784,0.9990285038948059,0.9980550408363342,548,True,
Adam_NoBeta2,1819,9.837701782089425e-07,0.0009911470115184784,0.9990285038948059,0.9980550408363342,548,True,
SAM_SGD,1819,3.309300422668457,9.999999046325684,-0.8133364319801331,0.6516205072402954,1000,False,
SGD,2021,2.8130922317504883,1.993788242340088,-0.674126386642456,0.46245697140693665,1000,False,
SGD_Momentum,2021,9.842921144809225e-07,0.0008925265865400434,0.9990172386169434,0.9980316162109375,800,True,
Adam,2021,9.837701782089425e-07,0.0009911470115184784,0.9990285038948059,0.9980550408363342,548,True,
Adam_NoBeta2,2021,9.837701782089425e-07,0.0009911470115184784,0.9990285038948059,0.9980550408363342,548,True,
SAM_SGD,2021,3.309300422668457,9.999999046325684,-0.8133364319801331,0.6516205072402954,1000,False,
