iteration,loss,grad_norm,x,y
0,12.5,2.375,-1.4500000476837158,2.049999952316284
1,6.278127670288086,2.385427236557007,-1.3999857902526855,2.0998761653900146
2,7.717578887939453,2.397585868835449,-1.3865480422973633,2.1083884239196777
3,9.15048599243164,2.39728045463562,-1.39143705368042,2.0984559059143066
4,8.355011940002441,2.3919661045074463,-1.407256841659546,2.078047752380371
5,6.748944282531738,2.3842263221740723,-1.4302752017974854,2.050798177719116
6,5.908849716186523,2.1897366046905518,-1.4408226013183594,2.018022298812866
7,6.293405055999756,2.355613946914673,-1.440547227859497,1.9976840019226074
8,6.5567755699157715,2.3397629261016846,-1.4320870637893677,1.987433671951294
9,6.3175048828125,2.3271636962890625,-1.4172226190567017,1.9852148294448853
10,5.897277355194092,2.3172199726104736,-1.3971689939498901,1.9886837005615234
11,5.880393981933594,2.308899402618408,-1.3864307403564453,1.9830777645111084
12,6.065781593322754,2.2986831665039062,-1.383558988571167,1.9708706140518188
13,6.002107620239258,2.2876198291778564,-1.3872694969177246,1.9531875848770142
14,5.781257629394531,2.275930643081665,-1.3963645696640015,1.9301568269729614
15,5.781282901763916,2.263181686401367,-1.3981696367263794,1.9137017726898193
16,5.920767784118652,2.2515463829040527,-1.393823266029358,1.9038070440292358
17,5.881992340087891,2.2415218353271484,-1.384183645248413,1.8996418714523315
18,5.710973739624023,2.2329249382019043,-1.369895577430725,1.8996824026107788
19,5.669620513916016,2.224989652633667,-1.3622064590454102,1.8917901515960693
20,5.7109456062316895,2.2146363258361816,-1.3605393171310425,1.8782137632369995
21,5.645840167999268,2.2032530307769775,-1.3640503883361816,1.8592909574508667
22,5.588914394378662,2.1906914710998535,-1.361595630645752,1.8427987098693848
23,5.589552879333496,2.176692247390747,-1.35402250289917,1.830881118774414
24,5.542044639587402,2.163311004638672,-1.3418675661087036,1.8212625980377197
25,5.527002334594727,2.149101972579956,-1.335461974143982,1.8050750494003296
26,5.501110076904297,2.133115530014038,-1.3342117071151733,1.7834711074829102
27,5.449667453765869,2.1159393787384033,-1.3279751539230347,1.7607696056365967
28,5.420224189758301,2.09513783454895,-1.3172338008880615,1.7413501739501953
29,5.373473167419434,1.8347071409225464,-1.3041770458221436,1.7163373231887817
30,5.333131313323975,2.047837257385254,-1.2961901426315308,1.6860671043395996
31,5.2760396003723145,1.9182299375534058,-1.2852145433425903,1.6520947217941284
