dimension,optimizer,seed,final_loss,iterations,converged,run_status,converged_epoch,converged_iteration
100,SGD,42,9.76540945885063e-07,355,True,converged,354.0,354.0
100,SGD,123,9.652254675529548e-07,358,True,converged,357.0,357.0
100,SGD,456,9.762491117726313e-07,350,True,converged,349.0,349.0
100,Adam,42,9.143730039795628e-07,125,True,converged,124.0,124.0
100,Adam,123,9.60604097599571e-07,128,True,converged,127.0,127.0
100,Adam,456,8.915320677260752e-07,129,True,converged,128.0,128.0
100,SAM_SGD,42,9.2284034280965e-07,153,True,converged,152.0,152.0
100,SAM_SGD,123,9.01853880463932e-08,159,True,converged,158.0,158.0
100,SAM_SGD,456,5.527908228941669e-07,153,True,converged,152.0,152.0
200,SGD,42,9.71525878412649e-07,370,True,converged,369.0,369.0
200,SGD,123,9.733104207043652e-07,373,True,converged,372.0,372.0
200,SGD,456,9.880045581667218e-07,371,True,converged,370.0,370.0
200,Adam,42,9.73867940956552e-07,131,True,converged,130.0,130.0
200,Adam,123,9.95178879747982e-07,134,True,converged,133.0,133.0
200,Adam,456,8.873333285919216e-07,136,True,converged,135.0,135.0
200,SAM_SGD,42,9.21335811199242e-07,169,True,converged,168.0,168.0
200,SAM_SGD,123,4.374246600491461e-07,173,True,converged,172.0,172.0
200,SAM_SGD,456,1.9770205028635249e-07,173,True,converged,172.0,172.0
