optimizer,seed,final_train_loss,final_test_accuracy,best_test_accuracy
SGD,42,0.1969097035884857,0.9332,0.9404
SAM,42,0.0946609026233355,0.9722,0.9722
SGD,43,0.255862750283877,0.9308,0.9317
SAM,43,0.0908513512472311,0.9687,0.9725
SGD,44,0.2410875790596008,0.9265,0.9311
SAM,44,0.0893445722023646,0.9726,0.9726
SGD,45,0.2662042741298676,0.9257,0.9275
SAM,45,0.0913470099012057,0.9708,0.9725
SGD,46,0.208240915608406,0.9356,0.9383
SAM,46,0.0906172167181968,0.9727,0.9727
SGD,47,0.2413203205029169,0.924,0.927
SAM,47,0.0919178941865762,0.9705,0.9711
SGD,48,0.1878639460007349,0.9555,0.9555
SAM,48,0.0931053663035233,0.9711,0.9711
SGD,49,0.2210110116561253,0.9385,0.9385
SAM,49,0.0904146884640057,0.9696,0.9696
SGD,50,0.2240526865561803,0.9349,0.9349
SAM,50,0.0914568945884704,0.9701,0.9713
SGD,51,0.195560331082344,0.9475,0.9489
SAM,51,0.0861756460110346,0.9711,0.9727
