Optimizer/Config,Final Loss,Loss Std,Final Test Acc (%),Acc Std (%),Speed (iters/sec)
SimpleMLP_AMSGrad,0.0005,0.0001,98.1480,0.0616,0.1193
SimpleMLP_SGD_Momentum,0.0064,0.0013,98.1160,0.0791,0.1199
SimpleMLP_SAM_SGD,0.0186,0.0009,98.0340,0.1035,0.1279
SimpleMLP_SGD,0.0196,0.0014,97.9840,0.1075,0.1200
SimpleMLP_SAM_Adam,0.0016,0.0048,97.9440,0.1762,0.1262
SimpleMLP_AdaBound,0.0192,0.0010,97.9330,0.0618,0.1129
SimpleMLP_Adam,0.0015,0.0032,97.9210,0.1640,0.1197
SimpleMLP_Lookahead_SGD,0.0254,0.0003,97.9050,0.1107,0.1180
SimpleMLP_AdamW,0.0029,0.0057,97.7820,0.2603,0.1194
SimpleMLP_Lookahead_Adam,0.0252,0.0048,97.7590,0.1238,0.1192
SimpleMLP_RAdam,0.0217,0.0057,97.5150,0.1073,0.1113
SimpleMLP_LAMB,0.0975,0.0176,97.3630,0.1208,0.1128
