epoch,train_loss,train_acc,val_loss,val_acc,tainted,effective_batch_size,original_batch_size,test_acc,test_loss
1,1.8928657038645311,29.32888888888889,1.8787041068077088,30.36,False,128,128,,
2,1.3784337043762207,49.028888888888886,1.356493890285492,51.52,False,128,128,,
3,1.08588382974267,60.86888888888889,1.3514551997184754,54.02,False,128,128,,
4,0.9047026292166926,67.95777777777778,0.9835424661636353,67.5,False,128,128,,
5,0.7721002968874845,73.04,0.8474626123905182,70.76,False,128,128,,
6,0.6866227728738026,76.13111111111111,1.125558853149414,67.18,False,128,128,,
7,0.6172186258164319,78.61333333333333,0.7864575445652008,72.36,False,128,128,,
8,0.5671779936687513,80.46888888888888,0.8533634305000305,73.96,False,128,128,,
9,0.5187896515496753,81.93777777777778,0.8109020411968231,73.9,False,128,128,,
10,0.475023647939617,83.59555555555555,1.0700802981853486,68.62,False,128,128,,
11,0.44168864766305144,84.99333333333334,0.6929550170898438,78.06,False,128,128,,
12,0.41413592191582377,85.78444444444445,0.5897278189659119,81.56,False,128,128,,
13,0.3910779365423051,86.53111111111112,0.7271004855632782,79.42,False,128,128,,
14,0.3662243758920919,87.35333333333334,0.4894068270921707,83.54,False,128,128,,
15,0.34860338981856,87.93111111111111,0.5196102201938629,83.14,False,128,128,,
16,0.32638316110453824,88.72444444444444,0.49946988821029664,83.44,False,128,128,,
17,0.31061258988285606,89.36,0.4608754813671112,84.04,False,128,128,,
18,0.29443040972744877,89.86666666666666,0.595207804441452,81.76,False,128,128,,
19,0.2835983396931128,90.2688888888889,0.47593546509742735,84.82,False,128,128,,
20,0.26845869049429893,90.79777777777778,0.49272410571575165,85.98,False,128,128,,
21,0.25372576802460983,91.21555555555555,0.5081582397222519,85.72,False,128,128,,
22,0.24355552726509896,91.60222222222222,0.6490110874176025,82.82,False,128,128,,
23,0.2343549146740274,91.93777777777778,0.41053912341594695,87.08,False,128,128,,
24,0.22064633532003922,92.32666666666667,0.4707001060247421,85.98,False,128,128,,
25,0.21726714679971337,92.73777777777778,0.5682364076375961,85.0,False,128,128,,
26,0.21016931245950135,92.88222222222223,0.6396683037281037,82.36,False,128,128,,
27,0.19840945934199475,93.20666666666666,0.513054096698761,85.88,False,128,128,,
28,0.19365891894664278,93.51777777777778,0.4555404633283615,87.74,False,128,128,,
29,0.18279160868207162,93.75555555555556,0.5058564454317093,87.28,False,128,128,,
30,0.1766134319742295,94.06888888888889,0.5165081679821014,86.3,False,128,128,,
31,0.17661781084131112,93.96,0.4361566543579102,88.54,False,128,128,,
32,0.16635032506151634,94.33555555555556,0.5188967853784561,84.78,False,128,128,,
33,0.16518480025909163,94.41777777777777,0.5583333998918534,86.2,False,128,128,,
34,0.15737527651204306,94.64222222222222,0.5248205631971359,86.88,False,128,128,,
35,0.15337354981933127,94.85111111111111,0.40885103940963746,88.74,False,128,128,,
36,0.15109490569342265,95.03111111111112,0.458535498380661,89.38,False,128,128,,
37,0.14982553213750097,95.05777777777777,0.6082318067550659,85.54,False,128,128,,
38,0.14137245871295984,95.27111111111111,0.42378467321395874,89.02,False,128,128,,
39,0.14400544049302963,95.21333333333334,0.5082209408283234,86.56,False,128,128,,
40,0.13561338630758904,95.52222222222223,0.4463034957647324,88.46,False,128,128,,
41,0.13011818220415575,95.59333333333333,0.5002411365509033,87.88,False,128,128,,
42,0.13023137631402773,95.6511111111111,0.5738495886325836,87.72,False,128,128,,
43,0.12552662325006994,95.78222222222222,0.5177476286888123,89.08,False,128,128,,
44,0.12307421554049308,95.95555555555555,0.520919269323349,87.66,False,128,128,,
45,0.11861710798587989,96.09333333333333,0.5123003423213959,88.7,False,128,128,89.06,0.5593030333518982
