function,optimizer,seed,initial_x,initial_y,final_loss,final_grad_norm,final_x,iterations,converged,converged_strict,converged_practical,path_length,mean_step_size,oscillation_rate,strict_convergence_threshold,practical_convergence_threshold,error,final_y,final_position,converged_iteration_strict,converged_iteration_practical,run_status,converged_epoch,converged_iteration
Rastrigin,Adam,42,1.683827571005236,-0.201698287195132,3.981519542562367,1.156157612800598,1.987236738204956,1000,False,False,False,3.003230318337234,0.0030062365548921,0.8156312625250501,1e-06,0.001,0.0,-0.0011700021568685,"[1.987236738204956, -0.001170002156868577]",-1.0,-1.0,error_exception,-1.0,-1.0
Rastrigin,Adam,123,-1.707510232925415,-4.581933498382568,28.853554125097627,3.224093234166503e-05,-1.989912152290344,1000,False,False,True,1.2911644225099006,0.0012924568793892,0.2855711422845691,1e-06,0.001,0.0,-4.974691390991211,"[-1.989912152290344, -4.974691390991211]",-1.0,-1.0,error_exception,-1.0,-1.0
Rastrigin,Adam,456,-1.1716614961624146,2.00317645072937,4.974840644244203,0.1999229341745376,-0.9944602251052856,1000,False,False,False,2.584065444325978,0.0025866520964224,0.8056112224448898,1e-06,0.001,0.0,1.989988088607788,"[-0.9944602251052856, 1.989988088607788]",-1.0,-1.0,error_exception,-1.0,-1.0
Rastrigin,Adam,789,3.2307403966547765,1.9337431868081305,12.934644604809186,0.409722238779068,2.984201192855835,1000,False,False,False,1.4526779143744712,0.0014541320464208,0.7525050100200401,1e-06,0.001,0.0,1.9907149076461792,"[2.984201192855835, 1.9907149076461792]",-1.0,-1.0,error_exception,-1.0,-1.0
Rastrigin,Adam,1011,-4.928723335266113,2.290278911590576,28.85355412514884,0.0002030516334343,-4.974691867828369,1000,False,False,True,1.4964026489469553,0.0014979005494964,0.5581162324649298,1e-06,0.001,0.0,1.989912033081055,"[-4.974691867828369, 1.989912033081055]",-1.0,-1.0,error_exception,-1.0,-1.0
Rastrigin,Adam,1213,3.0014960765838623,3.358781337738037,17.909237066192603,0.1652756035327911,2.984437227249145,1000,False,False,False,1.984099136940524,0.0019860852221626,0.7895791583166333,1e-06,0.001,0.0,2.984855890274048,"[2.984437227249145, 2.984855890274048]",-1.0,-1.0,error_exception,-1.0,-1.0
Rastrigin,Adam,1415,-0.5843766331672668,3.278250217437744,9.94956030448318,0.002159510506317,-0.9949580430984496,1000,False,False,False,2.022826582045381,0.0020248514334788,0.687374749498998,1e-06,0.001,0.0,2.984861135482788,"[-0.9949580430984496, 2.984861135482788]",-1.0,-1.0,error_exception,-1.0,-1.0
Rastrigin,Adam,1617,-0.8936690092086792,-1.081662654876709,1.989991345995392,0.2410184442996978,-0.994964361190796,1000,False,False,False,3.630914810831249,0.0036345493601914,0.7875751503006012,1e-06,0.001,0.0,-0.9955663084983826,"[-0.994964361190796, -0.9955663084983826]",-1.0,-1.0,error_exception,-1.0,-1.0
Rastrigin,Adam,1819,2.894817153646182,-4.5797784560242345,33.82832605591666,0.0385363027453422,2.984758138656616,1000,False,False,False,1.3002261484068671,0.0013015276760829,0.501002004008016,1e-06,0.001,0.0,-4.974691867828369,"[2.984758138656616, -4.974691867828369]",-1.0,-1.0,error_exception,-1.0,-1.0
Rastrigin,Adam,2021,-4.661519527435303,-1.826207160949707,28.853554125097627,3.224093234166503e-05,-4.974691390991211,1000,False,False,True,1.0995158140899075,0.0011006164305204,0.4819639278557114,1e-06,0.001,0.0,-1.989912152290344,"[-4.974691390991211, -1.989912152290344]",-1.0,-1.0,error_exception,-1.0,-1.0
