epoch,train_loss,train_acc,val_loss,val_acc
1,0.11804880139329486,99.83333333333333,2.627359338345871e-05,100.0
2,2.3009671885550854e-05,100.0,2.146648356366703e-05,100.0
3,2.0127929721574967e-05,100.0,1.8978572240614865e-05,100.0
4,1.7747711114536384e-05,100.0,1.671151299628296e-05,100.0
5,1.5626488436139068e-05,100.0,1.4711595992724011e-05,100.0
6,1.3832363500816364e-05,100.0,1.3249170608885055e-05,100.0
7,1.2334752123901955e-05,100.0,1.1839435111531721e-05,100.0
8,1.1069931436698729e-05,100.0,1.0673962866089173e-05,100.0
9,1.0031697568417274e-05,100.0,9.664952553326397e-06,100.0
10,9.113521963100587e-06,100.0,8.860830608422735e-06,100.0
11,8.364287966463036e-06,100.0,8.120035220469748e-06,100.0
12,7.703412209817192e-06,100.0,7.556455524796288e-06,100.0
13,7.146844390055712e-06,100.0,6.9614801369815334e-06,100.0
14,6.651321280259524e-06,100.0,6.540524477064277e-06,100.0
15,6.211282110151635e-06,100.0,6.065818914586478e-06,100.0
