phase,seed,torch_version,cuda_available,device,cudnn_deterministic,cudnn_benchmark,time_sec,epoch,batch,global_step,train_loss,grad_norm,update_norm,lr,tainted,effective_batch_size,original_batch_size,test_loss,test_accuracy,optimizer
meta_begin,456.0,2.6.0+cu124,True,cuda,True,False,0.0,,,,,,,,,,,,,SGD
train,,,,,,,0.079411506652832,1.0,1.0,1.0,2.2924304008483887,0.0,0.0010000000248001,0.001,False,128.0,128.0,,,SGD
train,,,,,,,0.1612303256988525,1.0,2.0,2.0,2.2550926208496094,0.999999463558197,0.0009999988272295,0.001,False,128.0,128.0,,,SGD
train,,,,,,,0.2044901847839355,1.0,3.0,3.0,2.28623628616333,0.9999994039535522,0.0010000012271431,0.001,False,128.0,128.0,,,SGD
train,,,,,,,0.2456223964691162,1.0,4.0,4.0,2.267958402633667,0.9999995827674866,0.0009999979254494,0.001,False,128.0,128.0,,,SGD
train,,,,,,,0.2915396690368652,1.0,5.0,5.0,2.26375150680542,0.9999995231628418,0.0010000001688792,0.001,False,128.0,128.0,,,SGD
train,,,,,,,0.342292308807373,1.0,6.0,6.0,2.272989511489868,0.999999463558197,0.0009999977434835,0.001,False,128.0,128.0,,,SGD
train,,,,,,,0.411048412322998,1.0,7.0,7.0,2.300424575805664,0.9999994039535522,0.0009999979932287,0.001,False,128.0,128.0,,,SGD
train,,,,,,,0.4537646770477295,1.0,8.0,8.0,2.272145271301269,0.9999993443489076,0.0009999993616914,0.001,False,128.0,128.0,,,SGD
train,,,,,,,0.5016782283782959,1.0,9.0,9.0,2.289100408554077,0.999999463558197,0.0009999992802842,0.001,False,128.0,128.0,,,SGD
train,,,,,,,0.5457601547241211,1.0,10.0,10.0,2.268986463546753,0.999999463558197,0.0010000007550212,0.001,False,128.0,128.0,,,SGD
train,,,,,,,0.5961143970489502,1.0,11.0,11.0,2.2761454582214355,0.999999463558197,0.0009999994263619,0.001,False,128.0,128.0,,,SGD
train,,,,,,,0.6360247135162354,1.0,12.0,12.0,2.242241144180298,0.9999994039535522,0.0009999989738347,0.001,False,128.0,128.0,,,SGD
train,,,,,,,0.673539400100708,1.0,13.0,13.0,2.246264934539795,0.9999994039535522,0.0009999992850027,0.001,False,128.0,128.0,,,SGD
train,,,,,,,0.7126119136810303,1.0,14.0,14.0,2.279096364974976,0.999999463558197,0.0010000004717202,0.001,False,128.0,128.0,,,SGD
train,,,,,,,0.751469612121582,1.0,15.0,15.0,2.2917897701263428,0.9999994039535522,0.001000000154141,0.001,False,128.0,128.0,,,SGD
train,,,,,,,0.7912836074829102,1.0,16.0,16.0,2.2703287601470947,0.999999463558197,0.0009999999329013,0.001,False,128.0,128.0,,,SGD
train,,,,,,,0.853163480758667,1.0,17.0,17.0,2.27521014213562,0.9999995231628418,0.0010000002570864,0.001,False,128.0,128.0,,,SGD
train,,,,,,,0.900808334350586,1.0,18.0,18.0,2.2590155601501465,0.999999463558197,0.0010000006019216,0.001,False,128.0,128.0,,,SGD
train,,,,,,,0.9448421001434326,1.0,19.0,19.0,2.2581019401550293,0.999999463558197,0.0009999988605363,0.001,False,128.0,128.0,,,SGD
train,,,,,,,1.1575336456298828,1.0,20.0,20.0,2.268951416015625,0.999999463558197,0.0009999985357956,0.001,False,128.0,128.0,,,SGD
train,,,,,,,1.197439670562744,1.0,21.0,21.0,2.2820193767547607,0.9999995231628418,0.0009999992467277,0.001,False,128.0,128.0,,,SGD
train,,,,,,,1.2342562675476074,1.0,22.0,22.0,2.253137350082397,0.9999994039535522,0.0009999990778627,0.001,False,128.0,128.0,,,SGD
train,,,,,,,1.2662036418914795,1.0,23.0,23.0,2.2358715534210205,0.9999993443489076,0.0010000004100196,0.001,False,128.0,128.0,,,SGD
train,,,,,,,1.2955536842346191,1.0,24.0,24.0,2.275866270065308,0.9999995231628418,0.0009999997701981,0.001,False,128.0,128.0,,,SGD
train,,,,,,,1.3288540840148926,1.0,25.0,25.0,2.292578935623169,0.999999463558197,0.0010000004538179,0.001,False,128.0,128.0,,,SGD
train,,,,,,,1.370124340057373,1.0,26.0,26.0,2.272024154663086,0.999999463558197,0.0009999993665764,0.001,False,128.0,128.0,,,SGD
train,,,,,,,1.4087140560150146,1.0,27.0,27.0,2.2553458213806152,0.9999993443489076,0.000999998009549,0.001,False,128.0,128.0,,,SGD
train,,,,,,,1.443942308425903,1.0,28.0,28.0,2.26003098487854,0.9999993443489076,0.0010000005542098,0.001,False,128.0,128.0,,,SGD
train,,,,,,,1.4785988330841064,1.0,29.0,29.0,2.2479941844940186,0.999999463558197,0.0009999998942378,0.001,False,128.0,128.0,,,SGD
train,,,,,,,1.50876784324646,1.0,30.0,30.0,2.2501485347747803,0.999999463558197,0.0009999997835763,0.001,False,128.0,128.0,,,SGD
train,,,,,,,1.5739057064056396,1.0,31.0,31.0,2.254556179046631,0.999999463558197,0.0010000014385848,0.001,False,128.0,128.0,,,SGD
train,,,,,,,1.6151797771453855,1.0,32.0,32.0,2.2785303592681885,0.999999463558197,0.001000000309933,0.001,False,128.0,128.0,,,SGD
train,,,,,,,1.6588618755340576,1.0,33.0,33.0,2.306053638458252,0.999999463558197,0.0010000002519794,0.001,False,128.0,128.0,,,SGD
train,,,,,,,1.6926522254943848,1.0,34.0,34.0,2.2282028198242188,0.9999995231628418,0.0010000001960797,0.001,False,128.0,128.0,,,SGD
train,,,,,,,1.727546453475952,1.0,35.0,35.0,2.245992422103882,0.9999994039535522,0.0009999987641966,0.001,False,128.0,128.0,,,SGD
train,,,,,,,1.7704544067382812,1.0,36.0,36.0,2.24416732788086,0.9999994039535522,0.000999999816994,0.001,False,128.0,128.0,,,SGD
train,,,,,,,1.808732271194458,1.0,37.0,37.0,2.2499120235443115,0.9999995231628418,0.0010000002945287,0.001,False,128.0,128.0,,,SGD
train,,,,,,,1.8457705974578855,1.0,38.0,38.0,2.181342124938965,0.9999994039535522,0.0009999999534405,0.001,False,128.0,128.0,,,SGD
train,,,,,,,1.8854851722717283,1.0,39.0,39.0,2.2446095943450928,0.9999995231628418,0.0010000001629951,0.001,False,128.0,128.0,,,SGD
train,,,,,,,1.927760124206543,1.0,40.0,40.0,2.2379589080810547,0.9999993443489076,0.0009999992178897,0.001,False,128.0,128.0,,,SGD
train,,,,,,,1.975562572479248,1.0,41.0,41.0,2.26529312133789,0.9999993443489076,0.0009999991519701,0.001,False,128.0,128.0,,,SGD
train,,,,,,,2.013409376144409,1.0,42.0,42.0,2.263183116912842,0.9999995827674866,0.0009999994923092,0.001,False,128.0,128.0,,,SGD
train,,,,,,,2.0497004985809326,1.0,43.0,43.0,2.231395721435547,0.9999995231628418,0.0010000012122661,0.001,False,128.0,128.0,,,SGD
train,,,,,,,2.088564395904541,1.0,44.0,44.0,2.256432056427002,0.9999995231628418,0.0009999989388626,0.001,False,128.0,128.0,,,SGD
train,,,,,,,2.1231906414031982,1.0,45.0,45.0,2.222437858581543,0.9999993443489076,0.0009999990608762,0.001,False,128.0,128.0,,,SGD
train,,,,,,,2.160853624343872,1.0,46.0,46.0,2.2293920516967773,0.9999995231628418,0.0009999998997334,0.001,False,128.0,128.0,,,SGD
train,,,,,,,2.1952216625213623,1.0,47.0,47.0,2.2254889011383057,0.9999993443489076,0.0009999993506169,0.001,False,128.0,128.0,,,SGD
train,,,,,,,2.228479623794556,1.0,48.0,48.0,2.22579026222229,0.9999993443489076,0.0009999982022008,0.001,False,128.0,128.0,,,SGD
train,,,,,,,2.2605795860290527,1.0,49.0,49.0,2.239731311798096,0.9999994039535522,0.000999998845798,0.001,False,128.0,128.0,,,SGD
train,,,,,,,2.2928991317749023,1.0,50.0,50.0,2.247166633605957,0.999999463558197,0.0010000008803375,0.001,False,128.0,128.0,,,SGD
train,,,,,,,2.327995777130127,1.0,51.0,51.0,2.2099881172180176,0.9999993443489076,0.0009999970331609,0.001,False,128.0,128.0,,,SGD
train,,,,,,,2.364060640335083,1.0,52.0,52.0,2.224628448486328,0.9999994039535522,0.0009999982454163,0.001,False,128.0,128.0,,,SGD
train,,,,,,,2.3990478515625,1.0,53.0,53.0,2.212987184524536,0.9999993443489076,0.0009999999203558,0.001,False,128.0,128.0,,,SGD
train,,,,,,,2.4351065158843994,1.0,54.0,54.0,2.196057081222534,0.9999993443489076,0.0009999993202245,0.001,False,128.0,128.0,,,SGD
train,,,,,,,2.4685709476470947,1.0,55.0,55.0,2.260002374649048,0.9999995231628418,0.0010000001928045,0.001,False,128.0,128.0,,,SGD
train,,,,,,,2.499448776245117,1.0,56.0,56.0,2.244429349899292,0.999999463558197,0.0009999971866497,0.001,False,128.0,128.0,,,SGD
