phase,seed,torch_version,cuda_available,device,cudnn_deterministic,cudnn_benchmark,time_sec,epoch,batch,global_step,train_loss,grad_norm,update_norm,lr,tainted,effective_batch_size,original_batch_size,test_loss,test_accuracy,optimizer
meta_begin,1617.0,2.6.0+cu124,True,cuda,True,False,0.0,,,,,,,,,,,,,SGD
train,,,,,,,0.0612986087799072,1.0,1.0,1.0,2.3341472148895264,0.0,0.0009999997831322,0.001,False,128.0,128.0,,,SGD
train,,,,,,,0.1000449657440185,1.0,2.0,2.0,2.337498426437378,0.9999995231628418,0.0009999988111868,0.001,False,128.0,128.0,,,SGD
train,,,,,,,0.1408298015594482,1.0,3.0,3.0,2.335500240325928,0.999999463558197,0.00099999912155,0.001,False,128.0,128.0,,,SGD
train,,,,,,,0.1795969009399414,1.0,4.0,4.0,2.370912313461304,0.9999994039535522,0.0009999977887252,0.001,False,128.0,128.0,,,SGD
train,,,,,,,0.2267522811889648,1.0,5.0,5.0,2.3101589679718018,0.9999995231628418,0.0010000006910169,0.001,False,128.0,128.0,,,SGD
train,,,,,,,0.2629473209381103,1.0,6.0,6.0,2.331498146057129,0.9999995231628418,0.0009999994461517,0.001,False,128.0,128.0,,,SGD
train,,,,,,,0.2963979244232178,1.0,7.0,7.0,2.339606046676636,0.9999995231628418,0.0009999987661117,0.001,False,128.0,128.0,,,SGD
train,,,,,,,0.333810806274414,1.0,8.0,8.0,2.305147171020508,0.9999994039535522,0.0009999999028143,0.001,False,128.0,128.0,,,SGD
train,,,,,,,0.3701183795928955,1.0,9.0,9.0,2.3612313270568848,0.9999993443489076,0.0010000009132556,0.001,False,128.0,128.0,,,SGD
train,,,,,,,0.4119853973388672,1.0,10.0,10.0,2.3255422115325928,0.9999995231628418,0.0009999982509397,0.001,False,128.0,128.0,,,SGD
train,,,,,,,0.4510302543640136,1.0,11.0,11.0,2.35041618347168,0.9999995231628418,0.0009999982853844,0.001,False,128.0,128.0,,,SGD
train,,,,,,,0.4989326000213623,1.0,12.0,12.0,2.336446523666382,0.999999463558197,0.0009999993638286,0.001,False,128.0,128.0,,,SGD
train,,,,,,,0.5342035293579102,1.0,13.0,13.0,2.301074981689453,0.999999463558197,0.0009999983759233,0.001,False,128.0,128.0,,,SGD
train,,,,,,,0.5670211315155029,1.0,14.0,14.0,2.3619394302368164,0.999999463558197,0.0009999970289421,0.001,False,128.0,128.0,,,SGD
train,,,,,,,0.6037054061889648,1.0,15.0,15.0,2.352458000183105,0.999999463558197,0.0009999984237184,0.001,False,128.0,128.0,,,SGD
train,,,,,,,0.641343355178833,1.0,16.0,16.0,2.321734666824341,0.9999995231628418,0.0009999990683702,0.001,False,128.0,128.0,,,SGD
train,,,,,,,0.6810076236724854,1.0,17.0,17.0,2.2960939407348637,0.9999994039535522,0.0009999980686685,0.001,False,128.0,128.0,,,SGD
train,,,,,,,0.714195966720581,1.0,18.0,18.0,2.320491075515747,0.9999993443489076,0.0010000003958643,0.001,False,128.0,128.0,,,SGD
train,,,,,,,0.7504265308380127,1.0,19.0,19.0,2.3132529258728027,0.9999994039535522,0.0010000007048947,0.001,False,128.0,128.0,,,SGD
train,,,,,,,0.7876372337341309,1.0,20.0,20.0,2.35564923286438,0.9999994039535522,0.0009999984370966,0.001,False,128.0,128.0,,,SGD
train,,,,,,,0.8229975700378418,1.0,21.0,21.0,2.299661159515381,0.9999995231628418,0.000999999554787,0.001,False,128.0,128.0,,,SGD
train,,,,,,,0.8553309440612793,1.0,22.0,22.0,2.3311305046081543,0.9999994039535522,0.0010000001352395,0.001,False,128.0,128.0,,,SGD
train,,,,,,,0.8911607265472412,1.0,23.0,23.0,2.314324855804444,0.9999994039535522,0.0010000005929843,0.001,False,128.0,128.0,,,SGD
train,,,,,,,0.9273037910461426,1.0,24.0,24.0,2.3199687004089355,0.9999995827674866,0.0009999991181083,0.001,False,128.0,128.0,,,SGD
train,,,,,,,0.974034309387207,1.0,25.0,25.0,2.264765501022339,0.9999995231628418,0.0009999995040498,0.001,False,128.0,128.0,,,SGD
train,,,,,,,1.0127685070037842,1.0,26.0,26.0,2.3270797729492188,0.999999463558197,0.0009999984968267,0.001,False,128.0,128.0,,,SGD
train,,,,,,,1.0507354736328125,1.0,27.0,27.0,2.293614387512207,0.999999463558197,0.000999999862763,0.001,False,128.0,128.0,,,SGD
train,,,,,,,1.0925719738006592,1.0,28.0,28.0,2.3267455101013184,0.9999994039535522,0.0009999989178794,0.001,False,128.0,128.0,,,SGD
train,,,,,,,1.1411495208740234,1.0,29.0,29.0,2.32267165184021,0.9999995231628418,0.0009999999788091,0.001,False,128.0,128.0,,,SGD
train,,,,,,,1.1923253536224363,1.0,30.0,30.0,2.305358648300171,0.9999994039535522,0.0009999998882704,0.001,False,128.0,128.0,,,SGD
train,,,,,,,1.2485172748565674,1.0,31.0,31.0,2.289872169494629,0.9999995827674866,0.001000001793578,0.001,False,128.0,128.0,,,SGD
train,,,,,,,1.28411602973938,1.0,32.0,32.0,2.278184413909912,0.9999995231628418,0.0009999994874242,0.001,False,128.0,128.0,,,SGD
train,,,,,,,1.322463035583496,1.0,33.0,33.0,2.3220653533935547,0.999999463558197,0.0009999990881322,0.001,False,128.0,128.0,,,SGD
