phase,epoch,batch,global_step,train_loss,grad_norm,update_norm,lr,time_sec,test_loss,test_accuracy
train,1,1.0,1,2.3189635276794434,1.988312840461731,0.19883182966934757,0.1,0.0782625675201416,,
train,1,2.0,2,2.135950803756714,1.7113978862762451,0.2911502309740521,0.1,0.08854913711547852,,
train,1,3.0,3,1.8790202140808105,1.7573143243789673,0.38490538586887074,0.1,0.10443115234375,,
train,1,4.0,4,1.5547797679901123,1.84746253490448,0.44450148695496533,0.1,0.11155223846435547,,
train,1,5.0,5,1.2694168090820312,1.8669503927230835,0.47807864214905993,0.1,0.1383519172668457,,
train,1,6.0,6,1.035164713859558,1.5355457067489624,0.483300385681668,0.1,0.14160585403442383,,
train,1,7.0,7,0.9159093499183655,2.3153839111328125,0.49632317225206657,0.1,0.17693638801574707,,
train,1,8.0,8,0.8192694783210754,2.3679661750793457,0.44625490267721013,0.1,0.1821150779724121,,
train,1,9.0,9,0.7862029075622559,2.0991039276123047,0.43535077808184525,0.1,0.21062707901000977,,
train,1,10.0,10,0.41663476824760437,1.2309898138046265,0.40316251953057636,0.1,0.21489834785461426,,
train,1,11.0,11,0.5956527590751648,2.390284776687622,0.3896639801748398,0.1,0.24950361251831055,,
train,1,12.0,12,0.7553313374519348,2.130781650543213,0.3855110609463692,0.1,0.2568211555480957,,
train,1,13.0,13,0.5892490148544312,1.7935023307800293,0.3554878011971875,0.1,0.2888834476470947,,
train,1,14.0,14,0.5621646642684937,2.0285162925720215,0.34856336749762207,0.1,0.2968599796295166,,
train,1,15.0,15,0.532326340675354,1.3627616167068481,0.33018881212751755,0.1,0.32489919662475586,,
train,1,16.0,16,0.5757939219474792,2.8487775325775146,0.347017586292367,0.1,0.3338887691497803,,
train,1,17.0,17,0.32918664813041687,1.6407389640808105,0.3676997578762411,0.1,0.3613882064819336,,
train,1,18.0,18,0.8668634295463562,2.482682704925537,0.3191978787243748,0.1,0.364520788192749,,
train,1,19.0,19,0.6806637644767761,2.1804513931274414,0.32988083963991033,0.1,0.40047264099121094,,
train,1,20.0,20,0.6816422939300537,1.871917486190796,0.33689882148515604,0.1,0.4191467761993408,,
train,1,21.0,21,0.6310032606124878,1.8473917245864868,0.3207371577672028,0.1,0.4373171329498291,,
train,1,22.0,22,0.6619417667388916,1.959685206413269,0.33857982503360634,0.1,0.44298267364501953,,
train,1,23.0,23,0.4333377778530121,1.541921854019165,0.31167161922049236,0.1,0.47902822494506836,,
train,1,24.0,24,0.7859935164451599,3.490302324295044,0.3972529145303442,0.1,0.48784446716308594,,
train,1,25.0,25,0.6238763332366943,2.671260118484497,0.37766219270058266,0.1,0.5190205574035645,,
train,1,26.0,26,0.5017716288566589,1.8887479305267334,0.3589130432098692,0.1,0.5241801738739014,,
train,1,27.0,27,0.40167301893234253,1.1724388599395752,0.3320636755895756,0.1,0.5500006675720215,,
train,1,28.0,28,0.7216737866401672,2.0661208629608154,0.3204562769531268,0.1,0.5577394962310791,,
train,1,29.0,29,0.44718214869499207,1.3954883813858032,0.31735982064268065,0.1,0.5887422561645508,,
train,1,30.0,30,0.3618353009223938,1.4956260919570923,0.32269338551738785,0.1,0.5940954685211182,,
train,1,31.0,31,0.38298526406288147,1.1400755643844604,0.292299879273459,0.1,0.616525411605835,,
train,1,32.0,32,0.49159184098243713,1.9946798086166382,0.30068537252524274,0.1,0.6239655017852783,,
train,1,33.0,33,0.4248509705066681,1.218047857284546,0.3073545114612141,0.1,0.657991886138916,,
train,1,34.0,34,0.32646578550338745,0.9059619903564453,0.2766827364908722,0.1,0.6649296283721924,,
train,1,35.0,35,0.5853747725486755,1.301411509513855,0.2751486852161406,0.1,0.6913566589355469,,
train,1,36.0,36,0.38332507014274597,1.2662303447723389,0.2562402462019524,0.1,0.6988656520843506,,
train,1,37.0,37,0.436396986246109,1.4802652597427368,0.26946328230912225,0.1,0.7273132801055908,,
train,1,38.0,38,0.29872068762779236,0.8091947436332703,0.2673596887990178,0.1,0.7339208126068115,,
train,1,39.0,39,0.37089434266090393,0.9274585843086243,0.24381627917875334,0.1,0.7610187530517578,,
train,1,40.0,40,0.24778680503368378,0.9201509356498718,0.2357931745727409,0.1,0.7681176662445068,,
train,1,41.0,41,0.436087965965271,1.2350386381149292,0.22718493580257595,0.1,0.8010056018829346,,
train,1,42.0,42,0.26464489102363586,1.0277093648910522,0.22036160838551813,0.1,0.8079838752746582,,
train,1,43.0,43,0.31940558552742004,0.8604161739349365,0.2134049911671459,0.1,0.8368978500366211,,
train,1,44.0,44,0.2626233398914337,0.6700963973999023,0.20517220119493074,0.1,0.8466129302978516,,
train,1,45.0,45,0.28516829013824463,0.7612826824188232,0.2008275706725118,0.1,0.8718903064727783,,
train,1,46.0,46,0.27381113171577454,0.8374433517456055,0.19893166963284564,0.1,0.8829662799835205,,
train,1,47.0,47,0.18537208437919617,0.6640308499336243,0.19023335733364247,0.1,0.9113922119140625,,
train,1,48.0,48,0.26950517296791077,1.0094422101974487,0.1849834840763059,0.1,0.9156992435455322,,
train,1,49.0,49,0.19717925786972046,0.7434436678886414,0.18150712731171043,0.1,0.9463579654693604,,
train,1,50.0,50,0.3382282853126526,1.0645159482955933,0.18565426257667172,0.1,0.9580223560333252,,
train,1,51.0,51,0.28194862604141235,1.1616090536117554,0.2027971771175369,0.1,0.9909029006958008,,
train,1,52.0,52,0.40085676312446594,1.0036357641220093,0.2128689529519151,0.1,0.9996857643127441,,
train,1,53.0,53,0.5232189893722534,1.1955281496047974,0.2182306344644131,0.1,1.0272459983825684,,
train,1,54.0,54,0.35638606548309326,1.4796066284179688,0.20700107054153424,0.1,1.0329720973968506,,
train,1,55.0,55,0.38485652208328247,1.1605123281478882,0.2202014594242466,0.1,1.0647327899932861,,
train,1,56.0,56,0.3120075762271881,0.7875447273254395,0.20932503916609357,0.1,1.0720901489257812,,
train,1,57.0,57,0.2565714418888092,0.9770232439041138,0.2057766620798084,0.1,1.0985865592956543,,
train,1,58.0,58,0.17983408272266388,0.7745841145515442,0.19054086138241366,0.1,1.1090104579925537,,
train,1,59.0,59,0.3292557895183563,0.9749046564102173,0.18623917998661757,0.1,1.1264169216156006,,
train,1,60.0,60,0.29947081208229065,0.8495439291000366,0.1856278503962792,0.1,1.134997844696045,,
train,1,61.0,61,0.23574873805046082,0.803225576877594,0.18699387917630667,0.1,1.170485496520996,,
train,1,62.0,62,0.28207215666770935,0.8171478509902954,0.19037938063863385,0.1,1.1799252033233643,,
train,1,63.0,63,0.23618844151496887,0.8885442614555359,0.18673239100178488,0.1,1.1984279155731201,,
train,1,64.0,64,0.30842843651771545,0.9885406494140625,0.1866521683324167,0.1,1.213430404663086,,
train,1,65.0,65,0.23424312472343445,0.90533047914505,0.17955305229666077,0.1,1.2373237609863281,,
train,1,66.0,66,0.21242627501487732,0.8474704623222351,0.18444575344996939,0.1,1.24725341796875,,
train,1,67.0,67,0.302903413772583,1.0266259908676147,0.1911028118642405,0.1,1.28117036819458,,
train,1,68.0,68,0.20351892709732056,0.7293158769607544,0.1935241422150279,0.1,1.2900762557983398,,
train,1,69.0,69,0.23775748908519745,0.9714210629463196,0.19138317050167722,0.1,1.3122708797454834,,
train,1,70.0,70,0.17672711610794067,0.6927147507667542,0.18001659765470165,0.1,1.3221917152404785,,
train,1,71.0,71,0.36393609642982483,1.1941128969192505,0.19548392803413817,0.1,1.3669490814208984,,
train,1,72.0,72,0.20857052505016327,1.0015569925308228,0.20220276613193633,0.1,1.3750755786895752,,
train,1,73.0,73,0.19220425188541412,0.7402509450912476,0.19705413392690266,0.1,1.3988564014434814,,
train,1,74.0,74,0.2885393500328064,0.9215124249458313,0.18306045112943886,0.1,1.4092586040496826,,
train,1,75.0,75,0.28973329067230225,0.9580562710762024,0.18146595401396873,0.1,1.4326825141906738,,
train,1,76.0,76,0.2291632443666458,1.2902668714523315,0.18009579851557753,0.1,1.4592561721801758,,
train,1,77.0,77,0.331816166639328,0.919991672039032,0.18492650808111397,0.1,1.4743189811706543,,
train,1,78.0,78,0.2706274688243866,0.7969491481781006,0.1872794243555221,0.1,1.5116393566131592,,
train,1,79.0,79,0.14632095396518707,0.6859637498855591,0.1821259889747743,0.1,1.5188534259796143,,
train,1,80.0,80,0.11973488330841064,0.6081522703170776,0.17108086622184604,0.1,1.586883306503296,,
train,1,81.0,81,0.23566778004169464,0.9211595058441162,0.1703337475217904,0.1,1.5953316688537598,,
