phase,epoch,batch,global_step,train_loss,grad_norm,update_norm,lr,time_sec,test_loss,test_accuracy
train,1,1.0,1,2.3189635276794434,1.988312840461731,0.45113612222741,0.001,0.0708310604095459,,
train,1,2.0,2,2.102470874786377,1.730060338973999,0.3320498954573227,0.001,0.07596302032470703,,
train,1,3.0,3,1.8937485218048096,1.7626382112503052,0.3033310737124312,0.001,0.10589098930358887,,
train,1,4.0,4,1.7217650413513184,1.8590401411056519,0.27490893585956405,0.001,0.12181854248046875,,
train,1,5.0,5,1.588348627090454,1.799448013305664,0.25671834428843116,0.001,0.14619755744934082,,
train,1,6.0,6,1.4261791706085205,1.4966806173324585,0.24444488435928147,0.001,0.15286517143249512,,
train,1,7.0,7,1.3156133890151978,1.6330095529556274,0.2344571331772503,0.001,0.1829087734222412,,
train,1,8.0,8,1.1574127674102783,1.4397985935211182,0.2255886487703462,0.001,0.18973040580749512,,
train,1,9.0,9,1.0620838403701782,1.4292523860931396,0.22110594372092085,0.001,0.22182774543762207,,
train,1,10.0,10,0.8374885320663452,1.395772099494934,0.21219875956257747,0.001,0.22775602340698242,,
train,1,11.0,11,0.7927627563476562,1.128519058227539,0.20206510228171737,0.001,0.25984883308410645,,
train,1,12.0,12,0.9393446445465088,1.7926220893859863,0.1892183154700114,0.001,0.26776790618896484,,
train,1,13.0,13,0.7837519645690918,1.759650707244873,0.17849061879176512,0.001,0.2976105213165283,,
train,1,14.0,14,0.7136564254760742,1.7422176599502563,0.17609274344979506,0.001,0.30480122566223145,,
train,1,15.0,15,0.6612884402275085,1.2365163564682007,0.16806927522530257,0.001,0.32778263092041016,,
train,1,16.0,16,0.616378128528595,0.9578625559806824,0.15951072028386082,0.001,0.33598875999450684,,
train,1,17.0,17,0.5316539406776428,1.578736424446106,0.148234429314212,0.001,0.3619687557220459,,
train,1,18.0,18,0.662684977054596,1.619927167892456,0.139353885197429,0.001,0.36576294898986816,,
train,1,19.0,19,0.5738239884376526,1.0983636379241943,0.1342822831318893,0.001,0.4053609371185303,,
train,1,20.0,20,0.5325338244438171,1.853735089302063,0.1296074765281144,0.001,0.41291260719299316,,
train,1,21.0,21,0.5171753764152527,1.3830201625823975,0.12587369374282406,0.001,0.43203186988830566,,
train,1,22.0,22,0.5252507328987122,1.586679220199585,0.12463508509602324,0.001,0.44923853874206543,,
train,1,23.0,23,0.39992257952690125,1.5743228197097778,0.11753224761729998,0.001,0.46338558197021484,,
train,1,24.0,24,0.4453285038471222,2.319810152053833,0.10642876315049438,0.001,0.4918859004974365,,
train,1,25.0,25,0.5115470886230469,2.0076847076416016,0.10891047098091367,0.001,0.5109291076660156,,
train,1,26.0,26,0.4464326798915863,1.4140708446502686,0.11252456571259876,0.001,0.5317244529724121,,
train,1,27.0,27,0.3408072292804718,1.17343008518219,0.11147581277337942,0.001,0.5513157844543457,,
train,1,28.0,28,0.5440646409988403,1.6173267364501953,0.10271156887585262,0.001,0.5677297115325928,,
train,1,29.0,29,0.3943902552127838,1.357968807220459,0.0992766741220497,0.001,0.5851948261260986,,
train,1,30.0,30,0.43923962116241455,2.687990427017212,0.10049636816801477,0.001,0.6064960956573486,,
train,1,31.0,31,0.3693076968193054,1.2708346843719482,0.09585615151446024,0.001,0.6258885860443115,,
train,1,32.0,32,0.39077869057655334,1.5324283838272095,0.09843226443276624,0.001,0.6400234699249268,,
train,1,33.0,33,0.3356313705444336,1.4748462438583374,0.094350500431407,0.001,0.6613726615905762,,
train,1,34.0,34,0.3959398567676544,1.2836735248565674,0.08864830506620236,0.001,0.680882453918457,,
train,1,35.0,35,0.441070556640625,1.2387446165084839,0.09001874141403543,0.001,0.7263336181640625,,
train,1,36.0,36,0.4020339846611023,1.8083679676055908,0.08232492905635444,0.001,0.7378392219543457,,
train,1,37.0,37,0.33281755447387695,1.6455127000808716,0.08361011359586563,0.001,0.7496621608734131,,
train,1,38.0,38,0.4304809272289276,1.569170594215393,0.08694503591209408,0.001,0.7806360721588135,,
