function,optimizer,seed,noise_std,noise_type,final_loss,final_x,final_y,iterations,converged,run_status,converged_epoch,converged_iteration
Rosenbrock_Easy,SGD,42,0.0,multiplicative,0.0065468183162886,0.9191957073106768,0.8445813821214018,5000,False,max_iters_or_stalled,-1,-1
Rosenbrock_Easy,SGD,123,0.0,multiplicative,0.0065468183162886,0.9191957073106768,0.8445813821214018,5000,False,max_iters_or_stalled,-1,-1
Rosenbrock_Easy,SGD,456,0.0,multiplicative,0.0065468183162886,0.9191957073106768,0.8445813821214018,5000,False,max_iters_or_stalled,-1,-1
Rosenbrock_Easy,SGD,789,0.0,multiplicative,0.0065468183162886,0.9191957073106768,0.8445813821214018,5000,False,max_iters_or_stalled,-1,-1
Rosenbrock_Easy,SGD,1011,0.0,multiplicative,0.0065468183162886,0.9191957073106768,0.8445813821214018,5000,False,max_iters_or_stalled,-1,-1
Rosenbrock_Easy,SGD,1213,0.0,multiplicative,0.0065468183162886,0.9191957073106768,0.8445813821214018,5000,False,max_iters_or_stalled,-1,-1
Rosenbrock_Easy,SGD,1415,0.0,multiplicative,0.0065468183162886,0.9191957073106768,0.8445813821214018,5000,False,max_iters_or_stalled,-1,-1
Rosenbrock_Easy,SGD,1617,0.0,multiplicative,0.0065468183162886,0.9191957073106768,0.8445813821214018,5000,False,max_iters_or_stalled,-1,-1
Rosenbrock_Easy,SGD,1819,0.0,multiplicative,0.0065468183162886,0.9191957073106768,0.8445813821214018,5000,False,max_iters_or_stalled,-1,-1
Rosenbrock_Easy,SGD,2021,0.0,multiplicative,0.0065468183162886,0.9191957073106768,0.8445813821214018,5000,False,max_iters_or_stalled,-1,-1
Rosenbrock_Easy,SGD_Momentum,42,0.0,multiplicative,9.929013182900718e-09,0.999900848442873,0.99980130992811,2046,True,converged_strict,2045,2045
Rosenbrock_Easy,SGD_Momentum,123,0.0,multiplicative,9.929013182900718e-09,0.999900848442873,0.99980130992811,2046,True,converged_strict,2045,2045
Rosenbrock_Easy,SGD_Momentum,456,0.0,multiplicative,9.929013182900718e-09,0.999900848442873,0.99980130992811,2046,True,converged_strict,2045,2045
Rosenbrock_Easy,SGD_Momentum,789,0.0,multiplicative,9.929013182900718e-09,0.999900848442873,0.99980130992811,2046,True,converged_strict,2045,2045
Rosenbrock_Easy,SGD_Momentum,1011,0.0,multiplicative,9.929013182900718e-09,0.999900848442873,0.99980130992811,2046,True,converged_strict,2045,2045
Rosenbrock_Easy,SGD_Momentum,1213,0.0,multiplicative,9.929013182900718e-09,0.999900848442873,0.99980130992811,2046,True,converged_strict,2045,2045
Rosenbrock_Easy,SGD_Momentum,1415,0.0,multiplicative,9.929013182900718e-09,0.999900848442873,0.99980130992811,2046,True,converged_strict,2045,2045
Rosenbrock_Easy,SGD_Momentum,1617,0.0,multiplicative,9.929013182900718e-09,0.999900848442873,0.99980130992811,2046,True,converged_strict,2045,2045
Rosenbrock_Easy,SGD_Momentum,1819,0.0,multiplicative,9.929013182900718e-09,0.999900848442873,0.99980130992811,2046,True,converged_strict,2045,2045
Rosenbrock_Easy,SGD_Momentum,2021,0.0,multiplicative,9.929013182900718e-09,0.999900848442873,0.99980130992811,2046,True,converged_strict,2045,2045
