epoch,train_loss,train_acc,test_loss,test_acc,optimizer,elapsed_seconds
1,1.2499920220692953,59.498333333333335,0.5853565677165985,81.75,Adam,1
2,0.4463928578217824,86.96,0.3379779478311538,90.33,Adam,2
3,0.3067372803370158,90.71166666666667,0.2538922831296921,92.18,Adam,3
4,0.2462126313447952,92.41666666666669,0.2056434133946895,93.81,Adam,4
5,0.211337176267306,93.70166666666668,0.2319666359901428,93.02,Adam,5
6,0.1897853674689928,94.105,0.1542817350104451,95.1,Adam,6
7,0.1679307602405548,94.775,0.1468715991705656,95.44,Adam,7
8,0.1525136085112889,95.325,0.1454415799945592,95.31,Adam,8
9,0.1426944660981496,95.55333333333331,0.1393252084642648,95.43,Adam,9
10,0.1360919779618581,95.80333333333331,0.137888161739707,95.63,Adam,10
