path,experiment,rows,status,nan_cells,inf_cells,max_abs_numeric,has_axis,has_loss_like
results_longrun_20260314\experiments\summary_quantitative.csv,summary_quantitative.csv,58,has_nan,48,0,789.0,False,True
results_longrun_20260314\experiments\experiments\batch_ablation\MNIST_batch_ablation_seeds42_123_456_789.csv,experiments,48,ok,0,0,789.0,False,True
results_longrun_20260314\experiments\experiments\mnist\MNIST_SimpleMLP_SGD_Momentum_seed42.csv,experiments,50,has_nan,45,0,1491.613361120224,True,True
results_longrun_20260314\experiments\experiments\mnist\MNIST_SimpleMLP_SGD_seed123.csv,experiments,50,has_nan,45,0,1604.2099194526672,True,True
results_longrun_20260314\experiments\experiments\mnist\MNIST_SimpleMLP_SGD_seed42.csv,experiments,50,has_nan,45,0,804.3145041465759,True,True
results_longrun_20260314\experiments\experiments\mnist\MNIST_SimpleMLP_SGD_seed456.csv,experiments,50,has_nan,45,0,1832.4795441627505,True,True
results_longrun_20260314\experiments\experiments\mnist\MNIST_SimpleMLP_SGD_seed789.csv,experiments,50,has_nan,45,0,1678.0834140777588,True,True
results_longrun_20260314\experiments\experiments\batch_ablation\batchablation\BatchAblation_MNIST_AdamW_seed123.csv,experiments,1,ok,0,0,98.30651783943176,True,True
results_longrun_20260314\experiments\experiments\batch_ablation\batchablation\BatchAblation_MNIST_AdamW_seed42.csv,experiments,1,ok,0,0,100.0835816860199,True,True
results_longrun_20260314\experiments\experiments\batch_ablation\batchablation\BatchAblation_MNIST_AdamW_seed456.csv,experiments,1,ok,0,0,98.1887731552124,True,True
results_longrun_20260314\experiments\experiments\batch_ablation\batchablation\BatchAblation_MNIST_AdamW_seed789.csv,experiments,1,ok,0,0,99.32177758216858,True,True
results_longrun_20260314\experiments\experiments\batch_ablation\batchablation\BatchAblation_MNIST_Adam_seed123.csv,experiments,1,ok,0,0,97.66661858558656,True,True
results_longrun_20260314\experiments\experiments\batch_ablation\batchablation\BatchAblation_MNIST_Adam_seed42.csv,experiments,1,ok,0,0,100.86296224594116,True,True
results_longrun_20260314\experiments\experiments\batch_ablation\batchablation\BatchAblation_MNIST_Adam_seed456.csv,experiments,1,ok,0,0,96.73944330215454,True,True
results_longrun_20260314\experiments\experiments\batch_ablation\batchablation\BatchAblation_MNIST_Adam_seed789.csv,experiments,1,ok,0,0,114.73538851737976,True,True
results_longrun_20260314\experiments\experiments\batch_ablation\batchablation\BatchAblation_MNIST_SGD_Momentum_seed123.csv,experiments,1,ok,0,0,106.26610469818117,True,True
results_longrun_20260314\experiments\experiments\batch_ablation\batchablation\BatchAblation_MNIST_SGD_Momentum_seed42.csv,experiments,1,ok,0,0,100.1565465927124,True,True
results_longrun_20260314\experiments\experiments\batch_ablation\batchablation\BatchAblation_MNIST_SGD_Momentum_seed456.csv,experiments,1,ok,0,0,97.28291749954224,True,True
results_longrun_20260314\experiments\experiments\batch_ablation\batchablation\BatchAblation_MNIST_SGD_Momentum_seed789.csv,experiments,1,ok,0,0,106.90894865989684,True,True
results_longrun_20260314\experiments\experiments\batch_ablation\batchablation\BatchAblation_MNIST_SGD_seed123.csv,experiments,1,ok,0,0,118.95000720024107,True,True
results_longrun_20260314\experiments\experiments\batch_ablation\batchablation\BatchAblation_MNIST_SGD_seed42.csv,experiments,1,ok,0,0,108.06468915939332,True,True
results_longrun_20260314\experiments\experiments\batch_ablation\batchablation\BatchAblation_MNIST_SGD_seed456.csv,experiments,1,ok,0,0,95.24556875228882,True,True
results_longrun_20260314\experiments\experiments\batch_ablation\batchablation\BatchAblation_MNIST_SGD_seed789.csv,experiments,1,ok,0,0,95.0328176021576,True,True
