epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc,optimizer,elapsed_seconds
1,1.4548574522654216,47.85666666666667,0.956224412059784,65.92,65.92,Unknown,1
2,0.7779331271648406,75.02833333333334,0.5698081305503845,81.82,81.82,Unknown,2
3,0.5056342178662618,84.47666666666667,0.4082008782148361,88.17,88.17,Unknown,3
4,0.3829441481113433,88.42833333333333,0.2935944970846176,91.73,91.73,Unknown,4
5,0.3180841985225677,90.33666666666667,0.2587490452170372,92.26,92.26,Unknown,5
6,0.2705828800201416,91.79833333333332,0.2244519683122635,93.43,93.43,Unknown,6
7,0.246038553237915,92.58666666666667,0.2245408033013343,93.2,93.2,Unknown,7
8,0.2268608604907989,93.03833333333333,0.2106441428124904,93.87,93.87,Unknown,8
9,0.2192907192866007,93.42166666666668,0.1974999536097049,94.18,94.18,Unknown,9
10,0.2119770022630691,93.57,0.1890127831757068,94.59,94.59,Unknown,10
