epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc,optimizer,elapsed_seconds
1,1.597437817955017,41.73833333333334,1.103214379310608,60.52,60.52,Unknown,1
2,0.9653303528785706,67.225,0.7303982650756836,76.29,76.29,Unknown,2
3,0.6619238582928976,78.83333333333333,0.4985057197570801,84.42,84.42,Unknown,3
4,0.4756074246247609,85.55,0.3683632349967956,89.39,89.39,Unknown,4
5,0.370499038473765,88.95,0.3151184502124786,90.7,90.7,Unknown,5
6,0.3200211325486501,90.41,0.2799856689453125,91.65,91.65,Unknown,6
7,0.2864348907152811,91.44833333333334,0.2564070095300674,92.56,92.56,Unknown,7
8,0.261720650434494,92.18666666666668,0.241763318657875,92.74,92.74,Unknown,8
9,0.2492171821912129,92.63833333333334,0.2261779598116874,93.16,93.16,Unknown,9
10,0.2431246981620788,92.72,0.2225719479084014,93.33,93.33,Unknown,10
