epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc,optimizer,elapsed_seconds
1,1.4233111390431723,49.61333333333334,0.8804551032066346,70.41,70.41,Unknown,1
2,0.6491289752801259,80.14333333333333,0.4963813043117523,84.67,84.67,Unknown,2
3,0.4222899080435435,86.95,0.3303587160348892,90.45,90.45,Unknown,3
4,0.3451217985471089,89.34,0.2681627363920212,92.0,92.0,Unknown,4
5,0.2909923478364944,91.16333333333333,0.2455831246256828,92.71,92.71,Unknown,5
6,0.2605360501845677,91.99666666666668,0.2192682557821273,93.56,93.56,Unknown,6
7,0.2341594591061274,92.88833333333334,0.2095937679886818,93.7,93.7,Unknown,7
8,0.2204524103800455,93.37,0.1976373646736145,94.31,94.31,Unknown,8
9,0.2099308868567148,93.71,0.1876253593325615,94.36,94.36,Unknown,9
10,0.2030890295584996,93.95833333333331,0.1839393184065818,94.63,94.63,Unknown,10
