epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc,optimizer,elapsed_seconds
1,1.7393279635111492,44.70166666666667,1.3867304977416992,64.26,8.92,Unknown,1
2,1.2294937719345094,74.01833333333333,1.044418344497681,83.22,8.92,Unknown,2
3,1.015936961110433,84.01833333333333,0.9441636569976808,87.66,8.92,Unknown,3
4,0.9224280760447184,87.82666666666667,0.8739481565475464,90.28,8.94,Unknown,4
5,0.8654001500765482,90.27166666666666,0.8231007335662842,92.43,11.41,Unknown,5
6,0.8389250922520956,91.14666666666666,0.8196303066253662,92.31,22.53,Unknown,6
7,0.8193546526908875,91.925,0.7956855903625488,93.25,28.59,Unknown,7
8,0.8066502760569254,92.33166666666666,0.7833932474136353,93.41,31.39,Unknown,8
9,0.7975690924962362,92.75833333333334,0.7797854152679443,93.61,34.48,Unknown,9
10,0.7939263597170512,92.985,0.7770629755020142,93.79,38.28,Unknown,10
