epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc,optimizer,elapsed_seconds
1,1.5691695076624552,42.708333333333336,1.1171848466873169,59.52,59.52,Unknown,1
2,0.9219283445676169,70.17833333333333,0.6972333179473877,76.88,76.88,Unknown,2
3,0.6020350338459015,81.30166666666666,0.4862882450580597,84.85,84.85,Unknown,3
4,0.4739462282816569,85.25666666666666,0.3962593659639358,87.89,87.89,Unknown,4
5,0.4015353340625763,87.57,0.3426324320554733,89.85,89.85,Unknown,5
6,0.3679816924254099,88.71666666666667,0.3300850066184997,90.05,90.05,Unknown,6
7,0.3467850399494171,89.505,0.307030442404747,90.77,90.77,Unknown,7
8,0.3276885794798533,90.045,0.2981628153085708,91.12,91.12,Unknown,8
9,0.3156846349795659,90.38166666666666,0.2976947573184967,91.14,91.14,Unknown,9
10,0.3109981432437896,90.58,0.2881558067798614,91.49,91.49,Unknown,10
