Seed,Augmentation,Train_Acc,Test_Acc,Train_Loss,Test_Loss
42,Standard,98.0,92.5,0.0869786601543426,0.2369181312322616
42,Standard,92.83,94.9,0.2559110313177108,0.2092090221643447
123,Standard,98.0,92.8,0.0864040419518947,0.2349555966854095
123,Standard,92.81,94.7,0.2494960489630699,0.2043748177289962
456,Standard,98.0,92.5,0.0863835869461298,0.2366804883480072
456,Standard,93.03,94.3,0.2551301702976227,0.2158703968524933
789,Standard,98.14,92.85,0.0834444407790899,0.2326946420669555
789,Standard,93.04,94.6,0.2469450566530227,0.2014658200740814
1011,Standard,98.12,92.65,0.0842510359674692,0.2321015207767486
1011,Standard,92.94,94.7,0.25206837682724,0.1972509306669235
1213,Standard,98.0,93.0,0.085830684351921,0.2415728006362915
1213,Standard,92.87,94.25,0.2505862056255341,0.2167584702968597
1415,Standard,98.07,92.9,0.084519212603569,0.2371756907701492
1415,Standard,92.79,95.0,0.2523965102672577,0.192940612077713
1617,Standard,98.06,92.85,0.0864761898756027,0.2322095047235489
1617,Standard,93.0,94.5,0.2497321004390716,0.2095216071605682
1819,Standard,98.11,92.55,0.0853261541604995,0.2352235941886901
1819,Standard,93.14,94.7,0.2504712512850761,0.2034111864566803
2021,Standard,97.93,92.4,0.0871268770933151,0.2353504993915557
2021,Standard,93.02,94.3,0.2546142269670963,0.2064247533082962
