Seed,Label_Smoothing,Train_Acc,Test_Acc,Train_Loss,Test_Loss
42,0.0,98.0,92.5,0.0869786601543426,0.2369181312322616
42,0.05,98.28,93.7,0.1535069545507431,0.2743122198581695
42,0.1,98.17,93.95,0.2213103656291961,0.3410166335105896
42,0.15,98.05,94.0,0.2884950397491455,0.4078788275718689
42,0.2,97.88,93.95,0.3588082370758056,0.477484381198883
123,0.0,98.0,92.8,0.0864040419518947,0.2349555966854095
123,0.05,98.13,93.55,0.1542788460850715,0.2787278270721435
123,0.1,98.08,94.1,0.2220051599502563,0.3453461143970489
123,0.15,97.99,93.85,0.2899418480157852,0.4130645716190338
123,0.2,97.85,93.8,0.3601888885498047,0.4830882642269135
456,0.0,98.0,92.5,0.0863835869461298,0.2366804883480072
456,0.05,98.21,93.65,0.15374789904356,0.2754163239002228
456,0.1,98.21,93.85,0.2229800217151641,0.3445272262096405
456,0.15,98.05,93.75,0.2912556984424591,0.4118614439964294
456,0.2,97.85,93.6,0.3611968855857849,0.4805664422512054
789,0.0,98.14,92.85,0.0834444407790899,0.2326946420669555
789,0.05,98.32,93.85,0.1523372356414795,0.2766190664768219
789,0.1,98.14,94.0,0.2210944082021713,0.3435956764221191
789,0.15,98.06,93.85,0.2893203335285186,0.4109949147701263
789,0.2,97.92,93.9,0.3587687233924865,0.4789762518405914
1011,0.0,98.12,92.65,0.0842510359674692,0.2321015207767486
1011,0.05,98.28,93.85,0.1525710561156273,0.2752724914550781
1011,0.1,98.21,93.6,0.219922101354599,0.3423893196582794
1011,0.15,98.09,93.8,0.2875834030151367,0.4095279068946838
1011,0.2,97.99,93.8,0.3570621376514434,0.4779704895019531
1213,0.0,98.0,93.0,0.085830684351921,0.2415728006362915
1213,0.05,98.18,93.5,0.1536180752754211,0.2791675229072571
1213,0.1,98.1,93.75,0.2226283603668213,0.3470679986476898
1213,0.15,97.96,94.0,0.2921784227371216,0.415045791387558
1213,0.2,97.85,93.95,0.3625944548606872,0.4839584851264953
1415,0.0,98.07,92.9,0.084519212603569,0.2371756907701492
1415,0.05,98.26,93.7,0.1531547968387603,0.2800751571655273
1415,0.1,98.16,93.6,0.2231819339752197,0.3503038120269775
1415,0.15,98.03,93.6,0.2915504644155502,0.4184682354927063
1415,0.2,97.92,93.65,0.362559350156784,0.4879038906097412
1617,0.0,98.06,92.85,0.0864761898756027,0.2322095047235489
1617,0.05,98.26,93.75,0.1545193602204322,0.2757247014045715
1617,0.1,98.12,93.9,0.2230840376615524,0.3444539730548858
1617,0.15,97.99,93.85,0.2913710957050323,0.4119700791835785
1617,0.2,97.87,93.75,0.3619766177654266,0.4816988620758056
1819,0.0,98.11,92.55,0.0853261541604995,0.2352235941886901
1819,0.05,98.26,94.15,0.1532326611638069,0.2745500769615173
1819,0.1,98.14,94.1,0.2207710101366043,0.341329745054245
1819,0.15,98.03,94.15,0.2889677581787109,0.4096315040588379
1819,0.2,97.95,94.15,0.3599597496986389,0.4796735899448395
2021,0.0,97.93,92.4,0.0871268770933151,0.2353504993915557
2021,0.05,98.26,93.7,0.1541049459218978,0.2758775961399078
2021,0.1,98.17,93.95,0.2225788733720779,0.3440702521800995
2021,0.15,98.07,94.0,0.2912362495422363,0.4127587411403656
2021,0.2,97.87,93.8,0.361980792427063,0.4831800646781921
