function,optimizer,GD_converged_rate,SGD_converged_rate,GD_avg_iters,SGD_avg_iters,GD_final_loss,SGD_final_loss
Rosenbrock_Easy,SGD,0.0,0.0,5000.0,5000.0,0.00652030657787458,0.006426241016199853
Rosenbrock_Easy,SGD_Momentum,1.0,1.0,2038.0,2049.0,9.97755940566565e-09,9.983722434605274e-09
Rosenbrock_Easy,Adam,1.0,1.0,1631.0,1610.0,9.895441937536623e-09,9.936569936135339e-09
Rosenbrock_Easy,RMSProp,0.0,0.0,5000.0,5000.0,0.022156811494146476,0.0274991494556747
Rosenbrock_Easy,SAM,0.0,0.0,5000.0,5000.0,0.32510022555149887,0.31522156403519935
Rosenbrock_Hard,SGD,0.0,0.0,7.0,5.0,2.8259320112235365e+38,2.2606017973187484e+21
Rosenbrock_Hard,SGD_Momentum,0.0,0.0,5.0,7.0,1.1169736425654956e+21,3.5676745558606576e+46
Rosenbrock_Hard,Adam,0.0,0.0,5000.0,5000.0,6.945103983083443e-05,5.743764987576243e-05
Rosenbrock_Hard,RMSProp,0.0,0.0,5000.0,5000.0,0.37245065186245574,0.30336846993619404
Rosenbrock_Hard,SAM,0.0,0.0,5.0,5.0,1.1777499998408183e+46,8.88121867169613e+39
Ackley2D,SGD,0.0,0.0,5000.0,5000.0,6.559645375627877,6.559645375627877
Ackley2D,SGD_Momentum,0.0,0.0,5000.0,5000.0,6.559645375627877,6.559645375627877
Ackley2D,Adam,0.0,0.0,5000.0,5000.0,6.559645375632375,6.559645376230424
Ackley2D,RMSProp,0.0,0.0,5000.0,5000.0,6.5609290034526,6.5619131490714295
Ackley2D,SAM,0.0,0.0,5000.0,5000.0,6.559723712509655,6.559663797464911
SaddlePoint,SGD,1.0,1.0,1.0,1.0,0.0,0.0
SaddlePoint,SGD_Momentum,1.0,1.0,1.0,1.0,0.0,0.0
SaddlePoint,Adam,1.0,1.0,1.0,1.0,0.0,0.0
SaddlePoint,RMSProp,1.0,1.0,1.0,1.0,0.0,0.0
SaddlePoint,SAM,1.0,1.0,1.0,1.0,0.0,0.0
IllConditioned_Easy,SGD,0.0,0.0,5000.0,5000.0,2.263191418498013e-05,2.2957687963023362e-05
IllConditioned_Easy,SGD_Momentum,1.0,1.0,804.0,817.0,9.997120584482843e-09,9.979088391748938e-09
IllConditioned_Easy,Adam,1.0,1.0,173.0,267.0,2.4426563089029644e-09,8.754937323477e-09
IllConditioned_Easy,RMSProp,1.0,0.0,142.0,5000.0,6.702046697618665e-09,0.0011006244611120972
IllConditioned_Easy,SAM,1.0,0.0,3043.0,5000.0,6.125840620550019e-09,0.0004366210635245003
IllConditioned_Realistic,SGD,0.0,0.0,5000.0,5000.0,2.263191418498013e-05,2.2917775052662767e-05
IllConditioned_Realistic,SGD_Momentum,1.0,1.0,804.0,932.0,9.997120584482843e-09,9.976448085324923e-09
IllConditioned_Realistic,Adam,1.0,1.0,193.0,1390.0,7.171900096035319e-09,9.873993753169922e-09
IllConditioned_Realistic,RMSProp,1.0,0.0,144.0,5000.0,4.931130857883076e-09,0.009896013404066092
IllConditioned_Realistic,SAM,0.0,0.0,5000.0,5000.0,1.2500223841344353,1.7439590976070978
IllConditioned_Hard,SGD,0.0,0.0,13.0,13.0,3.988322153843626e+26,4.664642206172713e+26
IllConditioned_Hard,SGD_Momentum,0.0,0.0,14.0,14.0,1.8470567930523478e+27,1.8533044768381255e+27
IllConditioned_Hard,Adam,1.0,1.0,213.0,4339.0,1.604538792347465e-10,9.965143741927922e-09
IllConditioned_Hard,RMSProp,1.0,0.0,146.0,5000.0,2.3802299935677713e-09,0.07124947639053864
IllConditioned_Hard,SAM,0.0,0.0,13.0,13.0,4.502441804128545e+26,5.2267911661432984e+26
