Optimizer/Config,Final Loss,Loss Std,Final Test Acc (%),Acc Std (%),Speed (iters/sec)
SGD_lr3.0e-02,0.0,0.0,97.095,0.069,0.0
SGD_Momentum_lr3.0e-02,0.0,0.0,97.095,0.069,0.0
SGD_Momentum_lr1.0e-02,0.0,0.0,94.822,0.0623,0.0
SGD_lr1.0e-02,0.0,0.0,93.114,0.0849,0.0
SGD_lr3.0e-03,0.0,0.0,91.943,0.0756,0.0
SGD_Momentum_lr3.0e-03,0.0,0.0,91.943,0.0756,0.0
SGD_Momentum_lr1.0e-03,0.0,0.0,89.08,0.113,0.0
SGD_lr1.0e-03,0.0,0.0,85.669,0.3133,0.0
SGD_lr3.0e-04,0.0,0.0,81.142,0.7874,0.0
SGD_Momentum_lr3.0e-04,0.0,0.0,81.142,0.7874,0.0
SGD_lr1.0e-04,0.0,0.0,64.977,2.1393,0.0
SGD_Momentum_lr1.0e-04,0.0,0.0,64.977,2.1393,0.0
