Optimizer/Config,Final Loss,Loss Std,Final Test Acc (%),Acc Std (%),Speed (iters/sec)
InitAblation_kaiming_uniform_SGD_Momentum,0.1264,0.0056,96.188,0.5639,0.0
InitAblation_kaiming_normal_SGD_Momentum,0.1278,0.0063,95.949,0.6352,0.0
InitAblation_kaiming_uniform_Adam,0.1345,0.0079,95.853,0.4954,0.0
InitAblation_kaiming_uniform_AdamW,0.1336,0.007,95.786,0.4207,0.0
InitAblation_xavier_uniform_SGD_Momentum,0.1479,0.0048,95.773,0.4478,0.0
InitAblation_kaiming_normal_AdamW,0.1335,0.0083,95.77,0.6598,0.0
InitAblation_xavier_normal_AdamW,0.1588,0.0121,95.634,0.4492,0.0
InitAblation_xavier_normal_SGD_Momentum,0.1494,0.005,95.603,0.5107,0.0
InitAblation_xavier_uniform_Adam,0.1609,0.0078,95.332,0.422,0.0
InitAblation_xavier_uniform_AdamW,0.1601,0.0071,95.262,0.5332,0.0
InitAblation_uniform_small_SGD_Momentum,0.1757,0.0038,95.249,0.4638,0.0
InitAblation_uniform_small_Adam,0.1969,0.01,94.512,0.4383,0.0
InitAblation_uniform_small_AdamW,0.1945,0.0069,94.507,0.4928,0.0
InitAblation_kaiming_uniform_SGD,0.4978,0.03,86.571,1.8702,0.0
InitAblation_normal_small_AdamW,0.4769,0.143,85.894,6.1565,0.0
InitAblation_xavier_uniform_SGD,1.14,0.0253,64.16,4.1967,0.0
InitAblation_uniform_small_SGD,1.6774,0.051,38.386,1.755,0.0
InitAblation_normal_small_SGD_Momentum,2.2734,0.0828,13.133,5.349,0.0
