Optimizer/Config,Final Loss,Loss Std,Final Test Acc (%),Acc Std (%),Speed (iters/sec)
SGD_Momentum_wd0.0e+00,0.0,0.0,89.08,0.113,0.0
SGD_Momentum_wd1.0e-02,0.0,0.0,89.08,0.113,0.0
SGD_Momentum_wd1.0e-03,0.0,0.0,89.08,0.113,0.0
SGD_Momentum_wd1.0e-04,0.0,0.0,89.08,0.113,0.0
SGD_Momentum_wd1.0e-05,0.0,0.0,89.08,0.113,0.0
SGD_Momentum_wd1.0e-06,0.0,0.0,89.08,0.113,0.0
SGD_wd1.0e-02,0.0,0.0,89.08,0.113,0.0
SGD_wd1.0e-05,0.0,0.0,89.08,0.113,0.0
SGD_wd1.0e-06,0.0,0.0,89.08,0.113,0.0
SGD_wd0.0e+00,0.0,0.0,85.669,0.3133,0.0
SGD_wd1.0e-03,0.0,0.0,85.669,0.3133,0.0
SGD_wd1.0e-04,0.0,0.0,85.669,0.3133,0.0
