experiment,expectation_type,expected_artifact,generator,source_docs
2d_optimization,visualization,visualizations/static/2d_optimization/2d_rastrigin_loss_convergence.png,run_all_kaggle.py::_create_2d_visualizations,docs/CONVERGENCE_CRITERIA.md; docs/METRICS_HIERARCHY.md; docs/proposal.txt
2d_optimization,visualization,visualizations/static/2d_optimization/2d_rastrigin_grad_norm_convergence.png,run_all_kaggle.py::_create_2d_visualizations,docs/CONVERGENCE_CRITERIA.md; docs/METRICS_HIERARCHY.md; docs/proposal.txt
2d_optimization,visualization,visualizations/static/2d_optimization/2d_rastrigin_trajectory_overlay.png,run_all_kaggle.py::_create_2d_visualizations,docs/CONVERGENCE_CRITERIA.md; docs/METRICS_HIERARCHY.md; docs/proposal.txt
2d_optimization,visualization,visualizations/static/2d_optimization/2d_rosenbrock_loss_convergence.png,run_all_kaggle.py::_create_2d_visualizations,docs/CONVERGENCE_CRITERIA.md; docs/METRICS_HIERARCHY.md; docs/proposal.txt
2d_optimization,visualization,visualizations/static/2d_optimization/2d_rosenbrock_grad_norm_convergence.png,run_all_kaggle.py::_create_2d_visualizations,docs/CONVERGENCE_CRITERIA.md; docs/METRICS_HIERARCHY.md; docs/proposal.txt
2d_optimization,visualization,visualizations/static/2d_optimization/2d_rosenbrock_trajectory_overlay.png,run_all_kaggle.py::_create_2d_visualizations,docs/CONVERGENCE_CRITERIA.md; docs/METRICS_HIERARCHY.md; docs/proposal.txt
2d_optimization,visualization,visualizations/static/2d_optimization/2d_final_loss_by_optimizer.png,run_all_kaggle.py::_create_2d_visualizations,docs/CONVERGENCE_CRITERIA.md; docs/METRICS_HIERARCHY.md; docs/proposal.txt
2d_optimization,visualization,visualizations/static/2d_optimization/2d_convergence_rate_by_optimizer.png,run_all_kaggle.py::_create_2d_visualizations,docs/CONVERGENCE_CRITERIA.md; docs/METRICS_HIERARCHY.md; docs/proposal.txt
2d_optimization,visualization,visualizations/static/2d_optimization/2d_convergence_rate_strict_by_optimizer.png,run_all_kaggle.py::_create_2d_visualizations,docs/CONVERGENCE_CRITERIA.md; docs/METRICS_HIERARCHY.md; docs/proposal.txt
2d_optimization,visualization,visualizations/static/2d_optimization/2d_convergence_profile_by_threshold.png,run_all_kaggle.py::_create_2d_visualizations,docs/CONVERGENCE_CRITERIA.md; docs/METRICS_HIERARCHY.md; docs/proposal.txt
2d_optimization,metrics_schema,experiments/2d_optimization/2d_optimization_results.csv,run_all_kaggle.py::_create_2d_visualizations,docs/CONVERGENCE_CRITERIA.md; docs/METRICS_HIERARCHY.md; docs/proposal.txt
robustness,visualization,visualizations/static/robustness/robustness_loss_convergence.png,run_all_kaggle.py::_create_robustness_visualizations,docs/CONVERGENCE_CRITERIA.md; docs/METRICS_HIERARCHY.md; docs/proposal.txt
robustness,visualization,visualizations/static/robustness/robustness_grad_norm_convergence.png,run_all_kaggle.py::_create_robustness_visualizations,docs/CONVERGENCE_CRITERIA.md; docs/METRICS_HIERARCHY.md; docs/proposal.txt
robustness,visualization,visualizations/static/robustness/robustness_start_point_sensitivity.png,run_all_kaggle.py::_create_robustness_visualizations,docs/CONVERGENCE_CRITERIA.md; docs/METRICS_HIERARCHY.md; docs/proposal.txt
robustness,visualization,visualizations/static/robustness/robustness_final_loss_by_optimizer.png,run_all_kaggle.py::_create_robustness_visualizations,docs/CONVERGENCE_CRITERIA.md; docs/METRICS_HIERARCHY.md; docs/proposal.txt
robustness,visualization,visualizations/static/robustness/robustness_convergence_rate.png,run_all_kaggle.py::_create_robustness_visualizations,docs/CONVERGENCE_CRITERIA.md; docs/METRICS_HIERARCHY.md; docs/proposal.txt
robustness,visualization,visualizations/static/robustness/robustness_convergence_rate_strict.png,run_all_kaggle.py::_create_robustness_visualizations,docs/CONVERGENCE_CRITERIA.md; docs/METRICS_HIERARCHY.md; docs/proposal.txt
robustness,visualization,visualizations/static/robustness/robustness_convergence_profile.png,run_all_kaggle.py::_create_robustness_visualizations,docs/CONVERGENCE_CRITERIA.md; docs/METRICS_HIERARCHY.md; docs/proposal.txt
robustness,metrics_schema,experiments/robustness/robustness_results.csv,run_all_kaggle.py::_create_robustness_visualizations,docs/CONVERGENCE_CRITERIA.md; docs/METRICS_HIERARCHY.md; docs/proposal.txt
sam_sensitivity,visualization,visualizations/static/sam_sensitivity/sam_rho_sweep.png,run_all_kaggle.py::_create_sam_sensitivity_visualizations,docs/CONVERGENCE_CRITERIA.md; docs/METRICS_HIERARCHY.md; docs/proposal.txt
sam_sensitivity,visualization,visualizations/static/sam_sensitivity/sam_all_metrics.png,run_all_kaggle.py::_create_sam_sensitivity_visualizations,docs/CONVERGENCE_CRITERIA.md; docs/METRICS_HIERARCHY.md; docs/proposal.txt
sam_sensitivity,visualization,visualizations/static/sam_sensitivity/sam_train_loss_by_epoch.png,run_all_kaggle.py::_create_sam_sensitivity_visualizations,docs/CONVERGENCE_CRITERIA.md; docs/METRICS_HIERARCHY.md; docs/proposal.txt
sam_sensitivity,visualization,visualizations/static/sam_sensitivity/sam_test_accuracy_by_epoch.png,run_all_kaggle.py::_create_sam_sensitivity_visualizations,docs/CONVERGENCE_CRITERIA.md; docs/METRICS_HIERARCHY.md; docs/proposal.txt
sam_sensitivity,metrics_schema,experiments/sam_sensitivity/sam_sensitivity_results.csv,run_all_kaggle.py::_create_sam_sensitivity_visualizations,docs/CONVERGENCE_CRITERIA.md; docs/METRICS_HIERARCHY.md; docs/proposal.txt
ablation,visualization,visualizations/static/ablation/ablation_loss_convergence.png,run_all_kaggle.py::_create_ablation_visualizations,docs/CONVERGENCE_CRITERIA.md; docs/METRICS_HIERARCHY.md; docs/proposal.txt
ablation,visualization,visualizations/static/ablation/ablation_final_loss_by_optimizer.png,run_all_kaggle.py::_create_ablation_visualizations,docs/CONVERGENCE_CRITERIA.md; docs/METRICS_HIERARCHY.md; docs/proposal.txt
ablation,visualization,visualizations/static/ablation/ablation_iterations_by_optimizer.png,run_all_kaggle.py::_create_ablation_visualizations,docs/CONVERGENCE_CRITERIA.md; docs/METRICS_HIERARCHY.md; docs/proposal.txt
ablation,visualization,visualizations/static/ablation/ablation_convergence_rate.png,run_all_kaggle.py::_create_ablation_visualizations,docs/CONVERGENCE_CRITERIA.md; docs/METRICS_HIERARCHY.md; docs/proposal.txt
ablation,visualization,visualizations/static/ablation/ablation_convergence_profile.png,run_all_kaggle.py::_create_ablation_visualizations,docs/CONVERGENCE_CRITERIA.md; docs/METRICS_HIERARCHY.md; docs/proposal.txt
ablation,metrics_schema,experiments/ablation/ablation_results.csv,run_all_kaggle.py::_create_ablation_visualizations,docs/CONVERGENCE_CRITERIA.md; docs/METRICS_HIERARCHY.md; docs/proposal.txt
beta_sensitivity_2d,visualization,experiments/beta_sensitivity_2d/rosenbrock/momentum/momentum_trajectories.png,run_beta_2d_demos.py::main / generate_*,docs/CONVERGENCE_CRITERIA.md; docs/METRICS_HIERARCHY.md; docs/proposal.txt
