path,experiment,rows,status,nan_cells,inf_cells,max_abs_numeric,has_axis,has_loss_like
f:\GDSearch\results_proposal_full_20260223_v2_blended_real_like\experiments\cifar10\CIFAR10_ResNet18_AdaBound_seed1011.csv,cifar10,50,has_nan,98.0,0.0,128.0,True,True
f:\GDSearch\results_proposal_full_20260223_v2_blended_real_like\experiments\cifar10\CIFAR10_ResNet18_AdaBound_seed1213.csv,cifar10,50,has_nan,98.0,0.0,128.0,True,True
f:\GDSearch\results_proposal_full_20260223_v2_blended_real_like\experiments\cifar10\CIFAR10_ResNet18_AdaBound_seed123.csv,cifar10,50,has_nan,98.0,0.0,128.0,True,True
f:\GDSearch\results_proposal_full_20260223_v2_blended_real_like\experiments\cifar10\CIFAR10_ResNet18_AdaBound_seed1415.csv,cifar10,50,has_nan,98.0,0.0,128.0,True,True
f:\GDSearch\results_proposal_full_20260223_v2_blended_real_like\experiments\cifar10\CIFAR10_ResNet18_AdaBound_seed1617.csv,cifar10,50,has_nan,98.0,0.0,128.0,True,True
f:\GDSearch\results_proposal_full_20260223_v2_blended_real_like\experiments\cifar10\CIFAR10_ResNet18_AdaBound_seed1819.csv,cifar10,50,has_nan,98.0,0.0,128.0,True,True
f:\GDSearch\results_proposal_full_20260223_v2_blended_real_like\experiments\cifar10\CIFAR10_ResNet18_AdaBound_seed2021.csv,cifar10,50,has_nan,98.0,0.0,128.0,True,True
f:\GDSearch\results_proposal_full_20260223_v2_blended_real_like\experiments\cifar10\CIFAR10_ResNet18_AdaBound_seed42.csv,cifar10,50,has_nan,98.0,0.0,128.0,True,True
f:\GDSearch\results_proposal_full_20260223_v2_blended_real_like\experiments\cifar10\CIFAR10_ResNet18_AdaBound_seed456.csv,cifar10,50,has_nan,98.0,0.0,128.0,True,True
f:\GDSearch\results_proposal_full_20260223_v2_blended_real_like\experiments\cifar10\CIFAR10_ResNet18_AdaBound_seed789.csv,cifar10,50,has_nan,98.0,0.0,128.0,True,True
f:\GDSearch\results_proposal_full_20260223_v2_blended_real_like\experiments\cifar10\CIFAR10_ResNet18_AdamW_seed1011.csv,cifar10,49,has_nan,96.0,0.0,128.0,True,True
f:\GDSearch\results_proposal_full_20260223_v2_blended_real_like\experiments\cifar10\CIFAR10_ResNet18_AdamW_seed1213.csv,cifar10,50,has_nan,98.0,0.0,128.0,True,True
f:\GDSearch\results_proposal_full_20260223_v2_blended_real_like\experiments\cifar10\CIFAR10_ResNet18_AdamW_seed123.csv,cifar10,50,has_nan,98.0,0.0,128.0,True,True
f:\GDSearch\results_proposal_full_20260223_v2_blended_real_like\experiments\cifar10\CIFAR10_ResNet18_AdamW_seed1415.csv,cifar10,50,has_nan,98.0,0.0,128.0,True,True
f:\GDSearch\results_proposal_full_20260223_v2_blended_real_like\experiments\cifar10\CIFAR10_ResNet18_AdamW_seed1617.csv,cifar10,50,has_nan,98.0,0.0,128.0,True,True
f:\GDSearch\results_proposal_full_20260223_v2_blended_real_like\experiments\cifar10\CIFAR10_ResNet18_AdamW_seed1819.csv,cifar10,50,has_nan,98.0,0.0,128.0,True,True
f:\GDSearch\results_proposal_full_20260223_v2_blended_real_like\experiments\cifar10\CIFAR10_ResNet18_AdamW_seed2021.csv,cifar10,50,has_nan,98.0,0.0,128.0,True,True
f:\GDSearch\results_proposal_full_20260223_v2_blended_real_like\experiments\cifar10\CIFAR10_ResNet18_AdamW_seed42.csv,cifar10,50,has_nan,98.0,0.0,128.0,True,True
f:\GDSearch\results_proposal_full_20260223_v2_blended_real_like\experiments\cifar10\CIFAR10_ResNet18_AdamW_seed456.csv,cifar10,50,has_nan,98.0,0.0,128.0,True,True
f:\GDSearch\results_proposal_full_20260223_v2_blended_real_like\experiments\cifar10\CIFAR10_ResNet18_AdamW_seed789.csv,cifar10,50,has_nan,98.0,0.0,128.0,True,True
f:\GDSearch\results_proposal_full_20260223_v2_blended_real_like\experiments\cifar10\CIFAR10_ResNet18_Adam_seed1011.csv,cifar10,50,has_nan,98.0,0.0,128.0,True,True
