group,csv_files,timeseries_files,degenerate_acc_1pct,degenerate_speed_1000,axis_problem_files,max_axis_span,training_png_exists,training_png_bytes,issues
2d_optimization,1,0,0,0,0,0.000,1,1662409,
2d_visualization,1,0,0,0,0,0.000,0,0,missing_training_png
ablation,51,50,1,1,0,999.000,1,2083978,degenerate_acc_1pct;degenerate_speed_1000
ablation_comprehensive,4,0,0,0,0,0.000,0,0,missing_training_png
adam_adamw_comparison,1,0,0,0,0,0.000,0,0,missing_training_png
advanced_ablation,81,81,0,0,0,9.000,1,3548846,
adversarial,451,450,1,1,0,19999.000,1,238646,degenerate_acc_1pct;degenerate_speed_1000
analysis,16,0,0,0,0,0.000,0,0,missing_training_png
batch_ablation,1,0,0,0,0,0.000,1,441781,
beta_sensitivity_training,4,0,0,0,0,0.000,0,0,missing_training_png
cifar10,62,60,0,0,0,49.000,1,1258112,
convergence_validation,6,6,0,1,0,1999.000,0,0,degenerate_speed_1000;missing_training_png
cross_optimizer_dynamics,1,0,0,0,0,0.000,0,0,missing_training_png
dynamics_overhead,1,1,0,0,0,0.000,1,1301499,
hessian_2d,1,0,0,0,0,0.000,0,0,missing_training_png
highdim,61,60,0,0,0,375.000,1,2031452,
hyperparam_sensitivity,4,0,0,0,0,0.000,0,0,missing_training_png
hyperparameter_heatmaps,2,0,0,0,0,0.000,0,0,missing_training_png
imdb,55,55,0,0,0,14.000,1,1269798,
init_ablation,241,240,0,0,0,9.000,1,6002903,
label_noise,2,2,0,0,0,49.000,0,0,missing_training_png
lr_ablation,120,120,0,0,0,9.000,1,1149691,
medical,91,90,0,0,0,2.000,1,1456616,
missing_ablations,5,0,0,0,0,0.000,1,4555449,
mnist,121,120,0,0,0,49.000,1,2366245,
optimizer_comparison,4,0,0,0,0,0.000,0,0,missing_training_png
resnet,22,22,0,0,0,19.000,1,1280216,
robustness,451,450,1,1,0,19999.000,1,240614,degenerate_acc_1pct;degenerate_speed_1000
saddle_escape,4,3,0,0,0,900.000,0,0,missing_training_png
sam_sensitivity,1,1,0,0,0,0.000,1,1770189,
scheduler_ablation,3,0,0,0,0,0.000,1,1540464,
stochastic_2d_integrity,1,0,0,0,0,0.000,0,0,missing_training_png
theory_practice,1,0,0,0,0,0.000,1,388317,
visualizations,10,0,0,0,0,0.000,0,0,missing_training_png
wd_ablation,120,120,0,0,0,9.000,1,855542,
