epoch,train_acc,test_acc,train_loss,test_loss
1,89.95,85.55,0.5416636632919312,0.6693492045402527
2,92.77,88.75,0.4511425459384918,0.5709892897605896
3,94.26,90.75,0.4101064604759216,0.531069676399231
4,95.22,91.75,0.369210850906372,0.4895238480567932
5,95.91,92.05,0.3460566837310791,0.4693077588081359
6,96.46,92.7,0.3269058894157409,0.4491212141513824
7,97.12,92.95,0.3117799375772476,0.437192195892334
8,97.6,93.4,0.3059632133960724,0.4278284320831299
9,97.91,93.45,0.2901088102817535,0.4192753217220306
10,98.03,93.6,0.2915504644155502,0.4184682354927063
