function,optimizer,weight_decay,seed,final_loss,final_x,final_y,iterations,converged,run_status,converged_epoch,converged_iteration
Rosenbrock,Adam_L2,0.0,42,0.0077104261149237,0.912441286158788,0.832289877890693,2000,False,max_iters_or_stalled,-1.0,-1.0
Rosenbrock,Adam_L2,0.0,123,0.0077104261149237,0.912441286158788,0.832289877890693,2000,False,max_iters_or_stalled,-1.0,-1.0
Rosenbrock,Adam_L2,0.0,456,0.0077104261149237,0.912441286158788,0.832289877890693,2000,False,max_iters_or_stalled,-1.0,-1.0
Rosenbrock,Adam_L2,0.0,789,0.0077104261149237,0.912441286158788,0.832289877890693,2000,False,max_iters_or_stalled,-1.0,-1.0
Rosenbrock,Adam_L2,0.0,1011,0.0077104261149237,0.912441286158788,0.832289877890693,2000,False,max_iters_or_stalled,-1.0,-1.0
Rosenbrock,Adam_L2,0.0,1213,0.0077104261149237,0.912441286158788,0.832289877890693,2000,False,max_iters_or_stalled,-1.0,-1.0
Rosenbrock,Adam_L2,0.0,1415,0.0077104261149237,0.912441286158788,0.832289877890693,2000,False,max_iters_or_stalled,-1.0,-1.0
Rosenbrock,Adam_L2,0.0,1617,0.0077104261149237,0.912441286158788,0.832289877890693,2000,False,max_iters_or_stalled,-1.0,-1.0
Rosenbrock,Adam_L2,0.0,1819,0.0077104261149237,0.912441286158788,0.832289877890693,2000,False,max_iters_or_stalled,-1.0,-1.0
Rosenbrock,Adam_L2,0.0,2021,0.0077104261149237,0.912441286158788,0.832289877890693,2000,False,max_iters_or_stalled,-1.0,-1.0
Rosenbrock,AdamW,0.0,42,0.0077104261149237,0.912441286158788,0.832289877890693,2000,False,max_iters_or_stalled,-1.0,-1.0
Rosenbrock,AdamW,0.0,123,0.0077104261149237,0.912441286158788,0.832289877890693,2000,False,max_iters_or_stalled,-1.0,-1.0
Rosenbrock,AdamW,0.0,456,0.0077104261149237,0.912441286158788,0.832289877890693,2000,False,max_iters_or_stalled,-1.0,-1.0
Rosenbrock,AdamW,0.0,789,0.0077104261149237,0.912441286158788,0.832289877890693,2000,False,max_iters_or_stalled,-1.0,-1.0
Rosenbrock,AdamW,0.0,1011,0.0077104261149237,0.912441286158788,0.832289877890693,2000,False,max_iters_or_stalled,-1.0,-1.0
Rosenbrock,AdamW,0.0,1213,0.0077104261149237,0.912441286158788,0.832289877890693,2000,False,max_iters_or_stalled,-1.0,-1.0
Rosenbrock,AdamW,0.0,1415,0.0077104261149237,0.912441286158788,0.832289877890693,2000,False,max_iters_or_stalled,-1.0,-1.0
Rosenbrock,AdamW,0.0,1617,0.0077104261149237,0.912441286158788,0.832289877890693,2000,False,max_iters_or_stalled,-1.0,-1.0
Rosenbrock,AdamW,0.0,1819,0.0077104261149237,0.912441286158788,0.832289877890693,2000,False,max_iters_or_stalled,-1.0,-1.0
Rosenbrock,AdamW,0.0,2021,0.0077104261149237,0.912441286158788,0.832289877890693,2000,False,max_iters_or_stalled,-1.0,-1.0
Rosenbrock,Adam_L2,0.001,42,0.0078344066415062,0.9117375688052202,0.8310035058068193,2000,False,max_iters_or_stalled,-1.0,-1.0
Rosenbrock,Adam_L2,0.001,123,0.0078344066415062,0.9117375688052202,0.8310035058068193,2000,False,max_iters_or_stalled,-1.0,-1.0
Rosenbrock,Adam_L2,0.001,456,0.0078344066415062,0.9117375688052202,0.8310035058068193,2000,False,max_iters_or_stalled,-1.0,-1.0
Rosenbrock,Adam_L2,0.001,789,0.0078344066415062,0.9117375688052202,0.8310035058068193,2000,False,max_iters_or_stalled,-1.0,-1.0
